# all-by-all of 100 genomes (n=100 seed=11)
# query	subject
AG-313-A04	AG-319-D07
AG-313-A04	AG-325-F23
AG-313-A04	AG-325-I09
AG-313-A04	AG-337-B03
AG-313-A04	AG-337-E07
AG-313-A04	AG-337-G06
AG-313-A04	AG-343-E15
AG-313-A04	AG-349-D19
AG-313-A04	AG-349-G23
AG-313-A04	AG-349-O05
AG-313-A04	AG-359-B05
AG-313-A04	AG-359-E10
AG-313-A04	AG-359-N17
AG-313-A04	AG-359-O11
AG-313-A04	AG-365-C14
AG-313-A04	AG-365-L08
AG-313-A04	AG-390-A23
AG-313-A04	AG-390-I17
AG-313-A04	AG-390-M22
AG-313-A04	AG-410-O14
AG-313-A04	AG-414-P09
AG-313-A04	AG-426-B11
AG-313-A04	AG-426-C16
AG-313-A04	AG-426-E13
AG-313-A04	AG-426-G02
AG-313-A04	AG-426-I05
AG-313-A04	AG-426-M05
AG-313-A04	AG-426-O21
AG-313-A04	AG-430-K07
AG-313-A04	AG-430-N16
AG-313-A04	AG-439-D05
AG-313-A04	AG-447-E07
AG-313-A04	AG-447-O08
AG-313-A04	AG-453-B23
AG-313-A04	AG-461-B13
AG-313-A04	AG-461-C04
AG-313-A04	AG-461-M14
AG-313-A04	AG-891-A05
AG-313-A04	AG-891-I18
AG-313-A04	AG-891-J16
AG-313-A04	AG-891-P06
AG-313-A04	AG-892-C18
AG-313-A04	AG-892-E21
AG-313-A04	AG-893-M03
AG-313-A04	AG-894-A16
AG-313-A04	AG-894-G18
AG-313-A04	AG-894-G22
AG-313-A04	AG-894-I22
AG-313-A04	AG-894-L17
AG-313-A04	AG-894-M18
AG-313-A04	AG-894-P17
AG-313-A04	AG-896-C18
AG-313-A04	AG-896-G07
AG-313-A04	AG-896-O18
AG-313-A04	AG-897-B03
AG-313-A04	AG-897-G22
AG-313-A04	AG-898-F23
AG-313-A04	AG-898-G21
AG-313-A04	AG-899-B02
AG-313-A04	AG-899-G02
AG-313-A04	AG-901-C10
AG-313-A04	AG-903-D02
AG-313-A04	AG-903-K07
AG-313-A04	AG-903-K22
AG-313-A04	AG-904-G21
AG-313-A04	AG-905-M05
AG-313-A04	AG-907-E04
AG-313-A04	AG-909-E04
AG-313-A04	AG-910-E10
AG-313-A04	AG-910-G11
AG-313-A04	AG-910-M23
AG-313-A04	AG-912-C08
AG-313-A04	AG-912-E13
AG-313-A04	AG-912-G22
AG-313-A04	AG-912-N03
AG-313-A04	AG-913-K11
AG-313-A04	AG-913-L03
AG-313-A04	AG-914-D08
AG-313-A04	AG-914-M14
AG-313-A04	AG-915-C06
AG-313-A04	AG-915-G14
AG-313-A04	AG-915-O07
AG-313-A04	AG-916-A21
AG-313-A04	AG-916-B06
AG-313-A04	AG-916-G03
AG-313-A04	AG-916-L11
AG-313-A04	AG-916-O06
AG-313-A04	AG-917-C02
AG-313-A04	AG-917-M15
AG-313-A04	AG-917-M17
AG-313-A04	AG-919-D10
AG-313-A04	AG-920-M14
AG-313-A04	AH-287-G05
AG-313-A04	AH-287-O09
AG-313-A04	AH-287-O21
AG-313-A04	AH-321-P04
AG-313-A04	AH-324-F03
AG-313-A04	AH-324-I20
AG-313-A04	AH-326-M23
AG-319-D07	AG-325-F23
AG-319-D07	AG-325-I09
AG-319-D07	AG-337-B03
AG-319-D07	AG-337-E07
AG-319-D07	AG-337-G06
AG-319-D07	AG-343-E15
AG-319-D07	AG-349-D19
AG-319-D07	AG-349-G23
AG-319-D07	AG-349-O05
AG-319-D07	AG-359-B05
AG-319-D07	AG-359-E10
AG-319-D07	AG-359-N17
AG-319-D07	AG-359-O11
AG-319-D07	AG-365-C14
AG-319-D07	AG-365-L08
AG-319-D07	AG-390-A23
AG-319-D07	AG-390-I17
AG-319-D07	AG-390-M22
AG-319-D07	AG-410-O14
AG-319-D07	AG-414-P09
AG-319-D07	AG-426-B11
AG-319-D07	AG-426-C16
AG-319-D07	AG-426-E13
AG-319-D07	AG-426-G02
AG-319-D07	AG-426-I05
AG-319-D07	AG-426-M05
AG-319-D07	AG-426-O21
AG-319-D07	AG-430-K07
AG-319-D07	AG-430-N16
AG-319-D07	AG-439-D05
AG-319-D07	AG-447-E07
AG-319-D07	AG-447-O08
AG-319-D07	AG-453-B23
AG-319-D07	AG-461-B13
AG-319-D07	AG-461-C04
AG-319-D07	AG-461-M14
AG-319-D07	AG-891-A05
AG-319-D07	AG-891-I18
AG-319-D07	AG-891-J16
AG-319-D07	AG-891-P06
AG-319-D07	AG-892-C18
AG-319-D07	AG-892-E21
AG-319-D07	AG-893-M03
AG-319-D07	AG-894-A16
AG-319-D07	AG-894-G18
AG-319-D07	AG-894-G22
AG-319-D07	AG-894-I22
AG-319-D07	AG-894-L17
AG-319-D07	AG-894-M18
AG-319-D07	AG-894-P17
AG-319-D07	AG-896-C18
AG-319-D07	AG-896-G07
AG-319-D07	AG-896-O18
AG-319-D07	AG-897-B03
AG-319-D07	AG-897-G22
