reference	query	s_gene	s_seq	s_start	s_end	s_strand	s_gene_bp	n_hsps	sum_aln_len	sum_nident	identity_pct	distance	in_selected_pairs
AG-325-L02	AG-896-G07	AG-325-L02_00037	AG-325-L02_NODE_1	30351	32294	-	1944	1	1748	1306.00072	74.714	0.25286	1
AG-325-L02	AG-896-G07	AG-325-L02_00051	AG-325-L02_NODE_1	41683	43584	+	1902	1	1865	1458.00105	78.177	0.21823	1
AG-325-L02	AG-896-G07	AG-325-L02_00052	AG-325-L02_NODE_1	43590	44639	+	1050	1	1019	736.00332	72.228	0.27772	1
AG-325-L02	AG-896-G07	AG-325-L02_00057	AG-325-L02_NODE_1	49003	49980	-	978	1	663	493.00017	74.359	0.25641	1
AG-325-L02	AG-896-G07	AG-325-L02_00059	AG-325-L02_NODE_1	50082	50873	-	792	1	647	487.99975	75.425	0.24575	1
AG-325-L02	AG-896-G07	AG-325-L02_00069	AG-325-L02_NODE_1	59237	60118	+	882	1	844	680.00236	80.569	0.19431	1
AG-325-L02	AG-896-G07	AG-325-L02_00076	AG-325-L02_NODE_1	69309	70412	+	1104	1	868	738.99784	85.138	0.14862	1
AG-325-L02	AG-896-G07	AG-325-L02_00077	AG-325-L02_NODE_1	70413	71282	+	870	1	796	676.003	84.925	0.15075	1
AG-325-L02	AG-896-G07	AG-325-L02_00081	AG-325-L02_NODE_1	73850	75616	+	1767	1	1777	1387.99693	78.109	0.21891	1
AG-325-L02	AG-896-G07	AG-325-L02_00083	AG-325-L02_NODE_1	76179	77201	+	1023	1	1016	856.996	84.35	0.1565	1
AG-325-L02	AG-896-G07	AG-325-L02_00099	AG-325-L02_NODE_1	91158	92396	+	1239	1	1239	1081.00272	87.248	0.12752	1
AG-325-L02	AG-896-G07	AG-325-L02_00100	AG-325-L02_NODE_1	92484	93350	+	867	1	864	712.99872	82.523	0.17477	1
AG-325-L02	AG-896-G07	AG-325-L02_00119	AG-325-L02_NODE_1	108252	108926	+	675	1	585	444.9978	76.068	0.23932	1
AG-325-L02	AG-896-G07	AG-325-L02_00134	AG-325-L02_NODE_1	123494	124693	-	1200	1	1201	1011.99863	84.263	0.15737	1
AG-325-L02	AG-896-G07	AG-325-L02_00146	AG-325-L02_NODE_1	134417	135898	-	1482	1	1425	1100.99775	77.263	0.22737	1
AG-325-L02	AG-896-G07	AG-325-L02_00163	AG-325-L02_NODE_1	151320	152777	+	1458	1	820	681.0018	83.049	0.16951	1
AG-325-L02	AG-896-G07	AG-325-L02_00236	AG-325-L02_NODE_1	210679	212604	-	1926	1	1936	1528.00736	78.926	0.21074	1
AG-325-L02	AG-896-G07	AG-325-L02_00237	AG-325-L02_NODE_1	212605	213402	-	798	1	791	665.99827	84.197	0.15803	1
AG-325-L02	AG-896-G07	AG-325-L02_00238	AG-325-L02_NODE_1	213491	214432	-	942	1	946	806.00146	85.201	0.14799	1
AG-325-L02	AG-896-G07	AG-325-L02_00239	AG-325-L02_NODE_1	214646	215992	+	1347	1	1351	1076.00395	79.645	0.20355	1
AG-325-L02	AG-896-G07	AG-325-L02_00241	AG-325-L02_NODE_1	217160	219604	+	2445	1	2287	1666.01089	72.847	0.27153	1
