# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-325-K03.gdsk selected_coord_sketches/AG-905-E11.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-325-K03_AG-905-E11.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:07 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	103	933	.	ab	0.18734	67.807
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	562	1083	.	ab	0.16091	62.717
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	709	1230	.	ab	0.16238	61.222
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	939	1235	.	ab	0.18758	19.651
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	1235	1630	.	ab	0.14645	57.592
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	1614	2273	.	ab	0.14614	102.79
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	1738	2259	.	ab	0.16607	57.598
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	1808	2329	.	ab	0.17167	52.411
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	2276	2683	.	ab	0.15629	50.914
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	2683	2871	.	ab	0.19769	8.3069
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	2864	3097	.	ab	0.15763	25.235
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	3097	3465	.	ab	0.19675	21.684
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	3433	3954	.	ab	0.19568	34.025
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	3480	3704	.	ab	0.23084	4.6278
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	3516	4037	.	ab	0.19928	31.753
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	3704	4258	.	ab	0.2201	22.43
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	3821	4342	.	ab	0.20461	28.6
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	4258	4563	.	ab	0.13924	47.676
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	4555	5076	.	ab	0.18673	40.192
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	4574	4969	.	ab	0.19875	22.79
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	4835	5356	.	ab	0.18879	38.702
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	4969	5508	.	ab	0.20168	31.573
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	5508	5861	.	ab	0.16316	38.363
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	5761	6282	.	ab	0.13025	100.48
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	5864	6364	.	ab	0.14522	76.756
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	5974	6495	.	ab	0.1627	60.906
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	6364	6822	.	ab	0.2262	15.324
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	6824	8104	.	ab	0.17162	141.55
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	6907	7428	.	ab	0.15687	66.954
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	6943	7464	.	ab	0.15904	64.644
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	7455	7976	.	ab	0.17013	53.798
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	8110	8673	.	ab	0.18618	44.451
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	8133	8654	.	ab	0.18475	41.657
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	8729	9112	.	ab	0.18103	30.835
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	8914	9435	.	ab	0.20441	28.716
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	9114	9557	.	ab	0.19394	28.895
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	9558	10586	.	ab	0.17777	101.07
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	10305	10826	.	ab	0.14776	77.293
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	10398	10919	.	ab	0.17993	45.406
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	10586	11032	.	ab	0.22131	16.527
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	11045	11950	.	ab	0.22689	35.318
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	11112	11633	.	ab	0.23544	14.671
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	11696	12217	.	ab	0.20692	27.313
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	11940	12572	.	ab	0.23267	20.11
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	12633	14006	.	ab	0.16473	170.12
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	14007	14819	.	ab	0.19112	61.891
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	14854	15669	.	ab	0.16998	89.15
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	15349	15870	.	ab	0.19663	33.411
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	15666	16961	.	ab	0.22934	50.858
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	16233	16754	.	ab	0.24381	11.963
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	16965	17423	.	ab	0.21527	19.534
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	17395	17916	.	ab	0.15038	74.204
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	17423	19984	.	ab	0.16653	317.68
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	18212	18733	.	ab	0.17491	49.576
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	18852	19373	.	ab	0.19857	32.192
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	19080	19601	.	ab	0.19961	31.552
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	19174	19695	.	ab	0.19371	35.313
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	20022	20597	.	ab	0.17337	57.012
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	20597	21886	.	ab	0.16826	150.49
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	21090	21611	.	ab	0.18396	42.255
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	21887	22828	.	ab	0.12571	202.77
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	22871	23326	.	ab	0.20844	22.367
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	23125	23646	.	ab	0.11284	128.39
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	23377	23664	.	ab	0.11845	60.725
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	23664	25121	.	ab	0.06606	681.3
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	23870	24391	.	ab	0.085424	183.91
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	23925	24446	.	ab	0.086774	180.8
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	24073	24594	.	ab	0.099389	153.7
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	24648	25169	.	ab	0.046302	295.41
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	25109	26596	.	ab	0.070959	656.54
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	25619	26140	.	ab	0.067647	229.03
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	26559	27080	.	ab	0.061497	246.65
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	26634	27284	.	ab	0.062377	308.31
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	27284	28186	.	ab	0.058923	452.05
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	27375	27896	.	ab	0.064683	237.38
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	28203	29564	.	ab	0.16301	173.14
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	28527	29048	.	ab	0.12829	103.37
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	29526	30071	.	ab	0.17876	48.841
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	30064	33066	.	ab	0.17518	327.11
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	30244	30765	.	ab	0.17582	48.799
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	30917	31438	.	ab	0.18062	44.857
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	32191	32712	.	ab	0.14786	77.168
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	33067	33342	.	ab	0.13311	46.37
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	33330	33851	.	ab	0.12935	101.8
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	33342	34595	.	ab	0.13395	244.23
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	33517	34038	.	ab	0.1516	72.799
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	34752	36938	.	ab	0.15247	333.55
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	35188	35709	.	ab	0.17452	49.906
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	35442	35963	.	ab	0.16847	55.329
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	35639	36160	.	ab	0.17329	50.979
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	36966	37853	.	ab	0.16454	106.78
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	37212	37733	.	ab	0.17033	53.615
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	37846	38316	.	ab	0.14306	74.013
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	38037	38558	.	ab	0.16843	55.369
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	38282	38812	.	ab	0.18061	45.772
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	38419	38940	.	ab	0.17452	49.906
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	38829	40571	.	ab	0.16393	221.4
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	40145	40666	.	ab	0.21088	25.201
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	40239	40760	.	ab	0.1989	31.984
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	40407	40928	.	ab	0.22448	18.859
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	40528	41118	.	ab	0.23506	17.436
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	41115	41834	.	ab	0.25677	13.375
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	41834	42223	.	ab	0.22874	11.547
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	42220	42948	.	ab	0.27435	8.4347
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	42951	43616	.	ab	0.28068	6.0642
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	43613	44287	.	ab	0.29352	4.0094
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	44288	45268	.	ab	0.27297	13.291
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	45340	45981	.	ab	0.28308	5.2905
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	45825	46346	.	ab	0.27334	5.1806
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	45983	46402	.	ab	0.26289	5.0471
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	46075	46596	.	ab	0.27108	5.569
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	46303	46824	.	ab	0.30068	1.811
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	46407	47717	.	ab	0.30139	8.794
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	47727	48185	.	ab	0.34459	0
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	48166	49263	.	ab	0.25986	21.412
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	48739	49260	.	ab	0.23836	13.681
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	48815	49336	.	ab	0.24226	12.435
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	48875	49396	.	ab	0.26424	6.8639
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	49265	49858	.	ab	0.30337	2.1151
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	49310	49831	.	ab	0.29726	2.1147
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	49785	50306	.	ab	0.26629	6.4553
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	49845	50960	.	ab	0.25238	26.035
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	50957	51343	.	ab	0.22717	11.862
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	51254	51775	.	ab	0.24489	11.642
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	51347	51751	.	ab	0.23191	11.271
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	51470	51991	.	ab	0.24489	11.642
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	51599	52120	.	ab	0.26021	7.7165
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	51744	52703	.	ab	0.30143	5.4667
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	52030	52551	.	ab	0.29158	2.6867
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	52386	52907	.	ab	0.2816	3.9177
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	52778	54883	.	ab	0.3497	3.1745
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	52996	53517	.	ab	0.31693	0.73798
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	53521	54042	.	ab	0.34999	0
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	54885	55850	.	ab	0.25112	22.441
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	55920	56201	.	ab	0.22428	8.02
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	56173	58287	.	ab	0.26901	38.024
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	56509	57030	.	ab	0.27108	5.569
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	58091	58612	.	ab	0.2498	10.257
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	58200	58721	.	ab	0.2547	8.9992
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	58288	59268	.	ab	0.2754	12.451
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	59261	60277	.	ab	0.26289	18.052
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	59269	59790	.	ab	0.29158	2.6867
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	60280	61029	.	ab	0.24509	18.776
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	61047	62102	.	ab	0.24615	28.032
gdiff	AG-325-K03_contigs.fasta	AG-905-E11_contigs.fasta	AG-325-K03_NODE_1	62112	63047	.	ab	0.30823	4.1064
