# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-897-O11.gdsk selected_coord_sketches/AG-893-L06.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-897-O11_AG-893-L06.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:07 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	542	1063	.	ab	0.18454	41.941
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	683	1204	.	ab	0.18837	39.114
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	1675	2196	.	ab	0.10916	135.36
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	1742	2263	.	ab	0.11843	119.19
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	3307	3828	.	ab	0.24958	10.352
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	3388	3909	.	ab	0.27425	5.0502
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	3682	4203	.	ab	0.23931	13.412
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	4389	4910	.	ab	0.26641	6.4573
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	4659	5180	.	ab	0.22562	18.445
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	5551	6072	.	ab	0.19835	32.426
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	5757	6278	.	ab	0.16689	56.979
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	6656	7177	.	ab	0.19498	34.576
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	6691	7212	.	ab	0.19094	37.3
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	7184	7705	.	ab	0.15589	68.196
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	7837	8358	.	ab	0.14094	86.027
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	8590	9111	.	ab	0.16233	61.448
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	9929	10450	.	ab	0.35009	0
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	10019	10540	.	ab	0.35009	0
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	10707	11228	.	ab	0.26026	7.7331
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	11270	11791	.	ab	0.2418	12.619
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	14789	15310	.	ab	0.18102	44.666
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	15641	16162	.	ab	0.10881	135.98
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	16761	17282	.	ab	0.19146	36.94
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	17548	18069	.	ab	0.20975	25.868
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	18165	18686	.	ab	0.2121	24.65
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	18385	18906	.	ab	0.22257	19.731
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	18475	18996	.	ab	0.22702	17.877
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	20322	20843	.	ab	0.14237	84.177
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	22283	22804	.	ab	0.16049	63.326
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	23000	23521	.	ab	0.13117	99.42
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	23053	23574	.	ab	0.14385	82.306
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	23196	23717	.	ab	0.14921	75.785
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	23750	24271	.	ab	0.15208	72.453
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	24686	25207	.	ab	0.18323	42.94
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	25592	26113	.	ab	0.15255	71.91
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	26377	26898	.	ab	0.19623	33.765
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	27487	28008	.	ab	0.096435	160.19
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	29142	29663	.	ab	0.18033	45.217
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	29791	30312	.	ab	0.16949	54.545
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	31018	31539	.	ab	0.27918	4.2819
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	32116	32637	.	ab	0.21334	24.025
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	32296	32817	.	ab	0.23349	15.412
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	33906	34427	.	ab	0.27346	5.182
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	34150	34671	.	ab	0.25837	8.1583
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	34341	34862	.	ab	0.25305	9.4418
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	35856	36377	.	ab	0.20655	27.596
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	36651	37172	.	ab	0.10377	145.48
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	37020	37541	.	ab	0.17683	48.082
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	38683	39204	.	ab	0.15814	65.779
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	38773	39294	.	ab	0.16078	63.022
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	38935	39456	.	ab	0.13833	89.456
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	44155	44676	.	ab	0.28171	3.9187
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	44396	44917	.	ab	0.28171	3.9187
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	44616	45137	.	ab	0.26026	7.7331
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	46963	47484	.	ab	0.20733	27.169
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	47037	47558	.	ab	0.21019	25.634
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	47094	47615	.	ab	0.22307	19.517
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	47514	48035	.	ab	0.2418	12.619
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	47971	48492	.	ab	0.35009	0
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	49386	49907	.	ab	0.28171	3.9187
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	49594	50115	.	ab	0.35009	0
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	49719	50240	.	ab	0.35009	0
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	50135	50656	.	ab	0.35009	0
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	50477	50998	.	ab	0.35009	0
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	51066	51587	.	ab	0.27346	5.182
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	51571	52092	.	ab	0.28591	3.3641
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	54450	54971	.	ab	0.23488	14.914
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	55974	56495	.	ab	0.31704	0.73797
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	56079	56600	.	ab	0.30079	1.8112
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	57110	57631	.	ab	0.35009	0
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	59899	60420	.	ab	0.27918	4.2819
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	61541	62062	.	ab	0.27346	5.182
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	61985	62506	.	ab	0.2243	18.993
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	62187	62708	.	ab	0.19995	31.438
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	64270	64791	.	ab	nan	nan
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	65929	66450	.	ab	0.24084	12.921
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	67061	67582	.	ab	0.35009	0
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	67705	68226	.	ab	0.26033	7.718
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	68229	68750	.	ab	0.28591	3.3641
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	68324	68845	.	ab	0.26897	5.9714
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	68772	69293	.	ab	0.29169	2.6874
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	69979	70500	.	ab	0.30079	1.8112
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	70141	70662	.	ab	nan	nan
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	71405	71926	.	ab	0.30433	1.5273
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	73026	73547	.	ab	0.32169	0.53036
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	76370	76891	.	ab	0.26678	6.385
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	78163	78684	.	ab	0.31704	0.73797
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	78966	79487	.	ab	0.22716	17.82
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	80237	80758	.	ab	0.23556	14.676
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	80375	80896	.	ab	0.23125	16.232
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	81201	81722	.	ab	0.19701	33.27
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	82681	83202	.	ab	0.21114	25.144
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	84843	85364	.	ab	0.10374	145.54
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	85803	86324	.	ab	0.1796	45.805
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	87328	87849	.	ab	0.21452	23.442
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	88267	88788	.	ab	0.19296	35.918
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	88582	89103	.	ab	0.18238	43.601
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	88803	89324	.	ab	0.18763	39.646
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	88986	89507	.	ab	0.14667	78.826
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	89277	89798	.	ab	0.15974	64.098
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	90279	90800	.	ab	0.18805	39.347
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	94019	94540	.	ab	0.14094	86.025
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	94195	94716	.	ab	0.18141	44.355
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	94331	94852	.	ab	0.18354	42.704
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	96098	96619	.	ab	0.18994	38.001
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	101180	101701	.	ab	0.35009	0
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	101723	102244	.	ab	0.25131	9.8916
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	102075	102596	.	ab	0.22934	16.96
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	102619	103140	.	ab	0.30079	1.8112
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	102682	103203	.	ab	0.30079	1.8112
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	106415	106936	.	ab	0.1686	55.363
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	106801	107322	.	ab	0.2418	12.619
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	106938	107459	.	ab	0.25641	8.6172
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	107379	107900	.	ab	0.27918	4.2819
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	108861	109382	.	ab	nan	nan
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	109545	110066	.	ab	0.2712	5.5704
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	110432	110953	.	ab	0.24618	11.304
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	111725	112246	.	ab	0.26026	7.7331
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	111764	112285	.	ab	0.26641	6.4573
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	113346	113867	.	ab	0.35009	0
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	114114	114635	.	ab	0.26641	6.4573
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	114521	115042	.	ab	0.27346	5.182
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	115190	115711	.	ab	0.27346	5.182
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	116598	117119	.	ab	0.25131	9.8916
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	118093	118614	.	ab	0.35009	0
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	118758	119279	.	ab	0.31704	0.73797
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	118780	119301	.	ab	0.31704	0.73797
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	119960	120481	.	ab	0.25131	9.8916
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	120887	121408	.	ab	0.29169	2.6874
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	121238	121759	.	ab	0.16106	62.742
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	122290	122811	.	ab	0.18893	38.714
gdiff	AG-893-L06_contigs.fasta	AG-897-O11_contigs.fasta	AG-893-L06_NODE_1	123564	124085	.	ab	0.21214	24.63
