# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-894-P23.gdsk selected_coord_sketches/AG-349-L17.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-894-P23_AG-349-L17.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:11 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	647	1168	.	ab	0.2829	3.726
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	816	1337	.	ab	0.2526	9.4967
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	2001	2522	.	ab	0.2662	6.4536
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	2082	2603	.	ab	0.28151	3.9168
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	3951	4472	.	ab	0.26875	5.9692
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	4047	4568	.	ab	0.28855	3.0168
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	4398	4919	.	ab	0.28855	3.0168
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	5244	5765	.	ab	0.30413	1.5268
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	5566	6087	.	ab	0.24216	12.431
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	6632	7153	.	ab	0.29149	2.6862
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	6877	7398	.	ab	0.28569	3.3635
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	7952	8473	.	ab	0.27896	4.2803
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	7993	8514	.	ab	0.28855	3.0168
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	8582	9103	.	ab	0.14052	86.125
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	9363	9884	.	ab	0.095589	161.12
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	10262	10783	.	ab	0.13417	94.659
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	11862	12383	.	ab	0.20266	29.651
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	11970	12491	.	ab	0.20694	27.232
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	12792	13313	.	ab	0.24157	12.614
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	13464	13985	.	ab	0.13781	89.692
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	17669	18190	.	ab	0.09632	159.6
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	18687	19208	.	ab	0.14111	85.356
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	20024	20545	.	ab	0.1192	117.31
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	20965	21486	.	ab	0.1709	52.972
gdiff	AG-349-L17_contigs.fasta	AG-894-P23_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	21702	22223	.	ab	0.13096	99.214
