# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-414-K15.gdsk selected_coord_sketches/AG-898-F23.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-414-K15_AG-898-F23.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:10 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-414-K15_contigs.fasta	AG-898-F23_contigs.fasta	AG-414-K15_NODE_1	113	1690	.	ab	0.26264	31.253
gdiff	AG-414-K15_contigs.fasta	AG-898-F23_contigs.fasta	AG-414-K15_NODE_1	555	1076	.	ab	0.24335	12.126
gdiff	AG-414-K15_contigs.fasta	AG-898-F23_contigs.fasta	AG-414-K15_NODE_1	699	1220	.	ab	0.30075	1.8111
gdiff	AG-414-K15_contigs.fasta	AG-898-F23_contigs.fasta	AG-414-K15_NODE_1	1715	2236	.	ab	0.25832	8.1573
gdiff	AG-414-K15_contigs.fasta	AG-898-F23_contigs.fasta	AG-414-K15_NODE_1	1715	2542	.	ab	0.25636	16.297
gdiff	AG-414-K15_contigs.fasta	AG-898-F23_contigs.fasta	AG-414-K15_NODE_1	1784	2305	.	ab	0.32164	0.53033
gdiff	AG-414-K15_contigs.fasta	AG-898-F23_contigs.fasta	AG-414-K15_NODE_1	2543	2959	.	ab	0.05119	219.83
gdiff	AG-414-K15_contigs.fasta	AG-898-F23_contigs.fasta	AG-414-K15_NODE_1	2970	4955	.	ab	0.070205	891.45
gdiff	AG-414-K15_contigs.fasta	AG-898-F23_contigs.fasta	AG-414-K15_NODE_1	3387	3908	.	ab	0.063358	241.61
gdiff	AG-414-K15_contigs.fasta	AG-898-F23_contigs.fasta	AG-414-K15_NODE_1	3470	3991	.	ab	0.068873	226.04
gdiff	AG-414-K15_contigs.fasta	AG-898-F23_contigs.fasta	AG-414-K15_NODE_1	3770	4291	.	ab	0.067807	228.98
gdiff	AG-414-K15_contigs.fasta	AG-898-F23_contigs.fasta	AG-414-K15_NODE_1	4495	5016	.	ab	0.1023	148.18
