genome	role	contig	contig_len	n_contigs	gene	gene_start	gene_end	gene_len	strand	mapped	mapped_pairs	mapped_as_query	mapped_as_reference	mapped_refs
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00002	1900	2454	555	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00003	2471	3157	687	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00005	3695	5053	1359	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00006	5214	6038	825	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00007	6038	6955	918	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00008	6948	7511	564	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00009	7562	8278	717	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00015	12823	13983	1161	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00019	17767	18918	1152	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00020	18918	20069	1152	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00021	20078	20578	501	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00024	21469	23343	1875	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00025	23345	23764	420	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00026	23775	24002	228	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00042	34888	35598	711	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00048	38827	39672	846	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00049	39682	39972	291	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00050	39969	41054	1086	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00051	41057	41755	699	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00052	41757	42674	918	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00053	42731	43804	1074	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00054	43819	44217	399	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00055	44233	46305	2073	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00056	46302	46946	645	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00057	47060	47320	261	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00058	47320	49131	1812	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00059	49200	49556	357	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00060	49585	50244	660	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00061	50249	51874	1626	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00062	51874	53406	1533	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00063	53396	53713	318	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00065	53989	55338	1350	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00066	55557	56201	645	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00067	56203	57270	1068	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00068	57331	59415	2085	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00070	59960	60463	504	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00071	60460	60825	366	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00072	60829	61101	273	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00073	61103	61855	753	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00074	61848	62573	726	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00075	62574	63200	627	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00076	63206	63796	591	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00077	63886	64401	516	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00078	64401	65771	1371	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00083	67667	68329	663	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00091	73773	75131	1359	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00093	76800	78131	1332	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00094	78249	80120	1872	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00096	80785	81579	795	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00097	81579	82427	849	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00113	94661	95788	1128	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00114	95818	97743	1926	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00115	97804	98454	651	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00120	101718	103997	2280	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00121	104046	105575	1530	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00122	105580	106581	1002	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00124	107177	108250	1074	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00125	108247	109248	1002	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00126	109256	109642	387	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00127	109652	110062	411	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00128	110067	111395	1329	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00129	111399	112394	996	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00130	112387	112848	462	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00131	112850	114394	1545	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00133	115432	115557	126	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00134	115656	117209	1554	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00173	147770	148186	417	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00174	148192	150672	2481	-	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00183	160849	162288	1440	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00184	162288	166790	4503	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00186	167572	168726	1155	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00187	168727	170643	1917	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00188	170644	171189	546	+	1	1	1	0	1
AG-899-J02	query	AG-899-J02_NODE_1	266438	26	AG-899-J02_00189	171243	171449	207	+	1	1	1	0	1
