# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-913-I23.gdsk selected_coord_sketches/AG-901-D23.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-913-I23_AG-901-D23.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:11 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	193	1413	.	ab	0.289	11.663
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	761	1282	.	ab	0.28912	3.0192
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	959	1480	.	ab	0.25874	8.1662
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	1400	2686	.	ab	0.2779	16.915
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	2353	2874	.	ab	0.29205	2.6893
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	2448	2969	.	ab	0.32202	0.53063
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	2679	3509	.	ab	0.29349	5.7712
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	3532	4428	.	ab	0.29037	7.1869
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	4435	6129	.	ab	0.3266	5.6564
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	4648	5169	.	ab	nan	nan
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	4761	5282	.	ab	0.3504	0
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	5173	5694	.	ab	0.32202	0.53063
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	6139	6795	.	ab	0.31497	1.5528
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	6168	6689	.	ab	0.32202	0.53063
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	6546	7067	.	ab	0.26071	7.7227
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	6818	8122	.	ab	0.30585	7.7032
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	7801	8322	.	ab	0.32202	0.53063
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	8089	8610	.	ab	nan	nan
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	8138	9052	.	ab	0.3382	0.94626
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	9179	10345	.	ab	0.30386	6.947
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	9353	9874	.	ab	0.29205	2.6893
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	9402	9923	.	ab	0.29205	2.6893
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	10095	10616	.	ab	0.30115	1.8117
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	10342	12639	.	ab	0.29553	22.191
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	11012	11533	.	ab	0.3504	0
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	12070	12591	.	ab	0.2568	8.6204
gdiff	AG-901-D23_contigs.fasta	AG-913-I23_contigs.fasta	AG-901-D23_NODE_1	12781	14190	.	ab	0.30652	8.4495
