genome	role	contig	contig_len	n_contigs	gene	gene_start	gene_end	gene_len	strand	mapped	mapped_pairs	mapped_as_query	mapped_as_reference	mapped_refs
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00021	20123	21415	1293	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00022	21451	21864	414	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00023	21877	22719	843	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00024	22716	23792	1077	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00025	23795	24889	1095	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00026	24894	26105	1212	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00027	26182	26904	723	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00028	26901	27329	429	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00029	27370	28671	1302	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00030	28737	31280	2544	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00031	31283	32377	1095	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00032	32649	34811	2163	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00033	34798	35415	618	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00034	35419	35736	318	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00035	35729	37372	1644	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00036	37511	38344	834	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00037	38344	39075	732	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00038	39188	39727	540	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00039	39719	40648	930	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00040	40650	41816	1167	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00041	41989	42483	495	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00042	42487	43473	987	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00043	43490	44101	612	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00044	44101	45069	969	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00046	45643	46419	777	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00047	46426	47769	1344	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00048	47744	48400	657	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00049	48400	50124	1725	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00050	50142	50432	291	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00051	50422	51114	693	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00052	51111	51740	630	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00053	51730	52959	1230	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00054	52959	53759	801	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00055	53756	54685	930	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00056	54639	55907	1269	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00058	56256	57692	1437	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00059	57701	58387	687	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00060	58425	59522	1098	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00065	61737	62786	1050	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00066	62764	64158	1395	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00068	64467	64679	213	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00070	64843	65058	216	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00071	65061	66344	1284	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00072	66344	66742	399	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00073	66742	67995	1254	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00074	67998	68552	555	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00075	68650	68850	201	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00077	69024	69746	723	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00078	69840	69980	141	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00079	69985	70326	342	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00080	70326	70577	252	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00081	70577	72253	1677	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00082	72277	73125	849	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00083	73122	73793	672	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00084	73799	74626	828	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00085	74629	75786	1158	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00086	75783	76712	930	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00087	76745	77224	480	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00088	77214	77954	741	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00089	77955	78878	924	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00090	78882	79400	519	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00091	79426	81189	1764	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00092	81164	81346	183	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00093	81404	81916	513	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00094	81903	83009	1107	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00095	82998	83258	261	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00096	83280	83813	534	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00097	83797	84771	975	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00098	84772	86568	1797	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00099	86565	87845	1281	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00100	87848	89905	2058	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00103	91337	93148	1812	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00104	93149	95557	2409	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00105	95554	96621	1068	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00106	96665	97021	357	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00107	97024	97230	207	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00108	97284	97829	546	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00109	97830	99746	1917	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00110	99747	100901	1155	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00111	100943	101686	744	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00112	101683	106185	4503	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00113	106185	107612	1428	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00117	110603	111859	1257	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00118	111863	114901	3039	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00123	118731	121211	2481	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00124	121217	121633	417	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00125	121630	121956	327	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00126	121913	122788	876	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00128	123139	124836	1698	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00130	124990	125595	606	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00131	125588	126073	486	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00132	126057	126590	534	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00133	126587	127156	570	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00134	127204	127854	651	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00135	127904	128107	204	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00136	128104	128613	510	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00137	128638	130029	1392	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00139	130145	131359	1215	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00140	131372	132073	702	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00141	132070	133182	1113	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00142	133172	134587	1416	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00143	134896	135156	261	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00144	135207	136070	864	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00145	136100	136804	705	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00146	136804	138372	1569	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00147	138381	139586	1206	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00148	139586	140023	438	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00149	140020	140760	741	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00150	140760	141218	459	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00151	141211	141804	594	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00152	141807	143138	1332	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00153	143200	143616	417	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00154	143724	144152	429	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00155	144246	144746	501	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00156	144746	145957	1212	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00157	145969	146745	777	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00158	146814	147020	207	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00159	147171	149243	2073	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00160	149301	149549	249	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00161	149562	149930	369	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00162	149930	152149	2220	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00163	152160	153713	1554	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00164	153812	154981	1170	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00165	154974	156518	1545	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00166	156520	156981	462	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00167	156974	157969	996	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00168	157973	158212	240	-	1	1	1	0	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00169	158230	159300	1071	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00170	159305	159715	411	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_1	159932	37	AG-899-N21_00171	159699	159869	171	-	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_10	34380	37	AG-899-N21_01002	143	1048	906	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_10	34380	37	AG-899-N21_01003	1069	3465	2397	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_10	34380	37	AG-899-N21_01004	3465	4010	546	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_10	34380	37	AG-899-N21_01005	3964	5445	1482	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_10	34380	37	AG-899-N21_01007	6037	7332	1296	+	1	2	1	1	1
AG-899-N21	both	AG-899-N21_NODE_10	34380	37	AG-899-N21_01008	7322	8248	927	+	1	2	1	1	1
