# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-892-K05.gdsk selected_coord_sketches/AG-912-C08.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-892-K05_AG-912-C08.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:12 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-892-K05_contigs.fasta	AG-912-C08_contigs.fasta	AG-892-K05_NODE_1	171	515	.	ab	0.0066506	308.77
gdiff	AG-892-K05_contigs.fasta	AG-912-C08_contigs.fasta	AG-892-K05_NODE_1	552	1073	.	ab	4.7832e-08	583.13
gdiff	AG-892-K05_contigs.fasta	AG-912-C08_contigs.fasta	AG-892-K05_NODE_1	586	2400	.	ab	4.7832e-08	1895.4
gdiff	AG-892-K05_contigs.fasta	AG-912-C08_contigs.fasta	AG-892-K05_NODE_1	696	1217	.	ab	4.7832e-08	583.13
gdiff	AG-892-K05_contigs.fasta	AG-912-C08_contigs.fasta	AG-892-K05_NODE_1	1707	2228	.	ab	4.7832e-08	583.13
gdiff	AG-892-K05_contigs.fasta	AG-912-C08_contigs.fasta	AG-892-K05_NODE_1	1776	2297	.	ab	4.7832e-08	583.13
gdiff	AG-892-K05_contigs.fasta	AG-912-C08_contigs.fasta	AG-892-K05_NODE_1	2400	2660	.	ab	4.7832e-08	319.1
gdiff	AG-892-K05_contigs.fasta	AG-912-C08_contigs.fasta	AG-892-K05_NODE_1	2786	3409	.	ab	4.7832e-08	686.5
gdiff	AG-892-K05_contigs.fasta	AG-912-C08_contigs.fasta	AG-892-K05_NODE_1	3371	3892	.	ab	4.7832e-08	583.13
gdiff	AG-892-K05_contigs.fasta	AG-912-C08_contigs.fasta	AG-892-K05_NODE_1	3406	5481	.	ab	4.7832e-08	2160.5
gdiff	AG-892-K05_contigs.fasta	AG-912-C08_contigs.fasta	AG-892-K05_NODE_1	3453	3974	.	ab	4.7832e-08	583.13
gdiff	AG-892-K05_contigs.fasta	AG-912-C08_contigs.fasta	AG-892-K05_NODE_1	3752	4273	.	ab	4.7832e-08	583.13
gdiff	AG-892-K05_contigs.fasta	AG-912-C08_contigs.fasta	AG-892-K05_NODE_1	4474	4995	.	ab	4.7832e-08	583.13
gdiff	AG-892-K05_contigs.fasta	AG-912-C08_contigs.fasta	AG-892-K05_NODE_1	4748	5269	.	ab	4.7832e-08	583.13
gdiff	AG-892-K05_contigs.fasta	AG-912-C08_contigs.fasta	AG-892-K05_NODE_1	5498	5911	.	ab	4.7832e-08	473.77
gdiff	AG-892-K05_contigs.fasta	AG-912-C08_contigs.fasta	AG-892-K05_NODE_1	5658	6179	.	ab	4.7832e-08	583.13
gdiff	AG-892-K05_contigs.fasta	AG-912-C08_contigs.fasta	AG-892-K05_NODE_1	5867	6388	.	ab	4.7832e-08	583.13
gdiff	AG-892-K05_contigs.fasta	AG-912-C08_contigs.fasta	AG-892-K05_NODE_1	5911	6984	.	ab	0.00072369	1076.3
