# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-916-M15.gdsk selected_coord_sketches/AG-359-E10.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-916-M15_AG-359-E10.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:14 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	519	1241	.	ab	0.0022394	708.88
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	557	1078	.	ab	0.0030394	502.6
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	702	1223	.	ab	0.0029554	503.25
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	1184	1813	.	ab	0.0050405	592.18
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	1721	2242	.	ab	4.7832e-08	586.7
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	1791	2312	.	ab	4.7832e-08	586.7
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	1906	2976	.	ab	0.0031551	1042.1
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	2973	4124	.	ab	0.0039468	1110.3
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	3399	3920	.	ab	0.0021258	510
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	3482	4003	.	ab	0.0034269	499.67
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	3783	4304	.	ab	0.0011313	519.58
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	4121	5104	.	ab	0.0017693	975.29
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	4511	5032	.	ab	0.0019329	511.69
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	4788	5309	.	ab	4.7832e-08	586.7
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	5105	5593	.	ab	0.0024143	474.85
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	5590	6168	.	ab	0.00066151	583.28
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	5705	6226	.	ab	0.0019543	511.5
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	5916	6437	.	ab	0.0017953	512.93
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	6176	8749	.	ab	0.0026378	2539.8
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	6840	7361	.	ab	0.0054966	485.23
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	6876	7397	.	ab	0.0071531	474.6
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	7383	7904	.	ab	4.7832e-08	586.7
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	8054	8575	.	ab	0.004298	493.39
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	8758	9033	.	ab	0.017947	211.26
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	8828	9349	.	ab	0.019857	405.3
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	9040	9774	.	ab	0.021143	569.36
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	9793	10020	.	ab	0.0027681	214.89
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	10025	10615	.	ab	0.012243	505.85
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	10204	10725	.	ab	0.0086232	465.61
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	10297	10818	.	ab	0.010453	454.89
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	10572	11102	.	ab	0.012495	451.34
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	11004	11525	.	ab	0.015964	424.87
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	11142	12602	.	ab	0.024281	1109.6
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	11582	12103	.	ab	0.050502	282.05
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	12602	13453	.	ab	0.019464	676.21
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	13440	14504	.	ab	0.016227	882.98
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	14506	15441	.	ab	0.043563	562.95
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	15199	15720	.	ab	0.021048	399.53
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	15431	16375	.	ab	0.011607	825.7
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	16074	16595	.	ab	0.020916	400.17
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	16376	17344	.	ab	0.032771	660.97
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	17225	17746	.	ab	0.010804	452.88
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	17341	17766	.	ab	0.010118	369.82
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	17758	18246	.	ab	0.033866	320.34
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	18034	18555	.	ab	0.028627	365.05
gdiff	AG-359-E10_contigs.fasta	AG-916-M15_contigs.fasta	AG-359-E10_NODE_1	18243	19625	.	ab	0.030246	979.62
