# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-916-E15.gdsk selected_coord_sketches/AG-899-P08.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-916-E15_AG-899-P08.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:14 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	738	1259	.	ab	0.33561	0.1228
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	930	1451	.	ab	0.33561	0.1228
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	1211	1420	.	ab	nan	nan
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	1929	2936	.	ab	0.019523	797.01
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	2281	2802	.	ab	0.028348	363.6
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	2373	2894	.	ab	0.031334	351
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	2956	3447	.	ab	0.0059962	450.02
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	3422	5053	.	ab	0.0082588	1486.6
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	4505	5026	.	ab	0.0045167	488.15
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	4614	5135	.	ab	0.0041117	490.97
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	5014	5535	.	ab	0.0050038	484.84
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	5185	6663	.	ab	0.0069182	1367.5
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	5978	6499	.	ab	0.0074458	469.23
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	6345	6866	.	ab	0.0038433	492.87
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	6709	7677	.	ab	0.0081995	876.3
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	7561	8082	.	ab	0.0096934	455.84
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	7674	9197	.	ab	0.0036315	1468
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	7841	8362	.	ab	0.0019216	507.93
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	9065	9586	.	ab	0.0081953	464.68
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	9113	9634	.	ab	0.0051041	484.17
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	9245	9931	.	ab	0.0053549	639.46
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	9785	10306	.	ab	0.0051553	483.83
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	9928	11409	.	ab	0.002806	1442.4
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	10674	11195	.	ab	0.0039255	492.28
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	11406	11633	.	ab	4.7832e-08	285.65
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	11663	12490	.	ab	0.001175	820.94
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	11700	12221	.	ab	0.0017318	509.65
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	12495	15437	.	ab	0.004282	2826.1
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	13524	14045	.	ab	0.0024577	503.38
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	13647	14168	.	ab	4.7832e-08	582.73
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	14584	15105	.	ab	0.0042433	490.04
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	15350	15871	.	ab	0.003288	496.93
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	15504	16442	.	ab	0.0026744	911.12
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	16458	18395	.	ab	0.021529	1514.9
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	18502	20169	.	ab	0.038097	1076
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	20144	20665	.	ab	0.025903	374.29
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	20321	21001	.	ab	0.015212	560.6
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	21006	21893	.	ab	0.018286	710.16
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	21304	21825	.	ab	0.021974	392.23
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	21883	22815	.	ab	0.027152	673.59
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	22816	23970	.	ab	0.012419	995.93
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	22829	23350	.	ab	0.010131	453.32
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	23902	24423	.	ab	0.0095465	456.7
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	23967	24359	.	ab	0.0099142	338.3
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	24356	25624	.	ab	0.007667	1160.3
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	24742	25263	.	ab	0.0072306	470.55
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	25041	25562	.	ab	0.0071798	470.86
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	25165	25686	.	ab	0.0051663	483.76
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	25628	26725	.	ab	0.0039752	1049.1
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	26722	27690	.	ab	0.010749	849.51
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	27679	28200	.	ab	0.010643	450.41
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	27843	28604	.	ab	0.012036	653.98
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	29250	32267	.	ab	0.020417	2401
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	30350	30871	.	ab	0.051234	277.66
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	31328	31849	.	ab	0.0058547	479.24
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	31400	31921	.	ab	0.0052945	482.91
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	31595	32116	.	ab	0.0050047	484.84
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	32273	33661	.	ab	0.0061641	1295.2
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	32349	32870	.	ab	0.0056178	480.78
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	33624	34145	.	ab	0.018938	406.79
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	33678	34466	.	ab	0.018339	628.53
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	34532	36316	.	ab	0.008771	1617.7
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	34858	35379	.	ab	0.0058546	479.24
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	35928	36449	.	ab	0.0031719	497.8
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	36316	37827	.	ab	0.0099196	1348.9
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	37440	37961	.	ab	0.018528	408.81
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	37831	39882	.	ab	0.011274	1808.2
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	39694	40215	.	ab	0.0081693	464.83
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	39879	41858	.	ab	0.0064698	1846.5
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	40577	41098	.	ab	4.7832e-08	582.73
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	41881	43023	.	ab	0.0038179	1094.9
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	42249	42770	.	ab	4.7832e-08	582.73
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	43033	43935	.	ab	0.0043759	855.87
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	43744	44265	.	ab	0.010719	449.97
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	43948	44502	.	ab	0.034116	362.27
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	43990	44511	.	ab	0.039056	320.51
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	44538	45656	.	ab	0.042402	680.91
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	45658	46257	.	ab	0.092012	195.73
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	46183	46704	.	ab	0.031897	348.68
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	46376	46600	.	ab	0.022566	158.28
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	46515	47036	.	ab	0.002247	505.13
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	46605	46904	.	ab	0.0039255	277.92
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	46774	47295	.	ab	4.7832e-08	582.73
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	46954	48435	.	ab	0.015839	1232.6
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	48633	49961	.	ab	0.013649	1132.2
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	48839	49360	.	ab	0.009489	457.03
gdiff	AG-899-P08_contigs.fasta	AG-916-E15_contigs.fasta	AG-899-P08_NODE_1	49921	50442	.	ab	0.014283	430.49
