# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-917-C08.gdsk selected_coord_sketches/AG-903-K22.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-917-C08_AG-903-K22.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:13 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	565	1086	.	ab	0.092034	169.13
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	712	1233	.	ab	0.11718	120.97
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	1747	2268	.	ab	0.077818	202.28
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	1817	2338	.	ab	0.077904	202.06
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	3450	3971	.	ab	0.23852	13.632
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	3534	4055	.	ab	0.23468	14.942
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	3840	4361	.	ab	0.21323	24.014
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	4578	5099	.	ab	0.22322	19.396
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	4859	5380	.	ab	0.21772	21.846
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	5790	6311	.	ab	0.13952	87.651
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	6004	6525	.	ab	0.075584	207.94
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	6942	7463	.	ab	0.041572	312.42
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	6979	7500	.	ab	0.044444	302.03
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	7493	8014	.	ab	0.018406	411.13
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	8174	8695	.	ab	0.010449	453.43
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	8959	9480	.	ab	0.021667	395.31
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	10356	10877	.	ab	0.019125	407.57
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	10451	10972	.	ab	0.023837	385.19
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	11168	11689	.	ab	0.01187	445.41
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	11755	12276	.	ab	0.013555	436.2
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	15426	15947	.	ab	0.020489	400.94
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	16314	16835	.	ab	0.034239	340.58
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	17482	18003	.	ab	0.016509	420.69
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	18304	18825	.	ab	0.010114	455.35
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	18947	19468	.	ab	0.0045953	489.7
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	19176	19697	.	ab	0.0072632	472.36
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	19271	19792	.	ab	0.010166	455.05
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	21196	21717	.	ab	0.021373	396.7
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	23242	23763	.	ab	0.0086796	463.75
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	23990	24511	.	ab	0.029311	360.97
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	24046	24567	.	ab	0.039535	319.99
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	24195	24716	.	ab	0.037458	327.91
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	24772	25293	.	ab	0.027156	370.29
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	25748	26269	.	ab	0.059191	253.61
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	26693	27214	.	ab	0.021318	396.97
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	27513	28034	.	ab	0.0092583	460.33
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	28671	29192	.	ab	4.7832e-08	584.97
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	30397	30918	.	ab	0.019462	405.92
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	31073	31594	.	ab	0.018246	411.92
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	32353	32874	.	ab	0.052976	273.07
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	33498	34019	.	ab	0.01223	443.42
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	33687	34208	.	ab	0.016695	419.74
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	35366	35887	.	ab	0.041167	313.91
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	35620	36141	.	ab	0.035652	334.96
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	35819	36340	.	ab	0.035629	335.04
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	37400	37921	.	ab	0.040729	315.53
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	38229	38750	.	ab	0.048426	288.17
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	38613	39134	.	ab	0.02784	367.3
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	40348	40869	.	ab	0.028089	366.22
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	40442	40963	.	ab	0.02799	366.65
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	40611	41132	.	ab	0.019571	405.39
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	46056	46577	.	ab	0.015414	426.35
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	46307	46828	.	ab	0.017377	416.28
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	46536	47057	.	ab	0.010014	455.93
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	48985	49506	.	ab	0.0034569	497.8
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	49062	49583	.	ab	0.0034569	497.8
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	49121	49642	.	ab	0.0023716	506.25
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	49559	50080	.	ab	0.015029	428.36
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	50036	50557	.	ab	0.015604	425.36
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	51512	52033	.	ab	0.25824	8.1606
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	51729	52250	.	ab	0.18342	42.681
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	51860	52381	.	ab	0.10238	147.81
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	52293	52814	.	ab	0.014966	428.69
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	52650	53171	.	ab	0.0052593	485.21
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	53264	53785	.	ab	0.035618	335.09
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	53791	54312	.	ab	0.019139	407.51
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	56794	57315	.	ab	0.014934	428.86
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	58384	58905	.	ab	0.033358	344.13
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	58494	59015	.	ab	0.045132	299.59
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	59568	60089	.	ab	0.014162	432.95
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	62478	62999	.	ab	0.025088	379.5
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	64191	64712	.	ab	0.010334	454.08
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	64653	65174	.	ab	0.060696	249.09
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	64864	65385	.	ab	0.0606	249.37
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	67037	67558	.	ab	0.0093976	459.51
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	68767	69288	.	ab	0.013875	434.48
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	69948	70469	.	ab	0.023191	388.17
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	70620	71141	.	ab	0.023066	388.75
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	71166	71687	.	ab	0.013067	438.84
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	71265	71786	.	ab	0.013591	436
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	71733	72254	.	ab	0.018553	410.4
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	72991	73512	.	ab	0.024035	384.29
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	73160	73681	.	ab	0.037458	327.91
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	74479	75000	.	ab	0.026813	371.8
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	76169	76690	.	ab	0.0012346	516.75
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	79658	80179	.	ab	0.0081676	466.82
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	81527	82048	.	ab	0.022856	389.73
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	82365	82886	.	ab	0.040996	314.54
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	83691	84212	.	ab	0.0022029	507.66
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	83835	84356	.	ab	0.0024416	505.67
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	84697	85218	.	ab	0.0062701	478.61
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	86240	86761	.	ab	0.0075206	470.77
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	88495	89016	.	ab	0.0081862	466.71
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	89497	90018	.	ab	0.0029934	501.29
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	91087	91608	.	ab	0.0056844	482.4
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	92067	92588	.	ab	0.0055582	483.23
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	92396	92917	.	ab	0.0048305	488.09
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	92626	93147	.	ab	0.009029	461.68
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	92816	93337	.	ab	0.0064403	477.52
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	93120	93641	.	ab	0.01051	453.08
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	94166	94687	.	ab	0.015904	423.8
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	98066	98587	.	ab	0.008233	466.43
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	98250	98771	.	ab	0.011491	447.52
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	98392	98913	.	ab	0.0095633	458.54
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	100235	100756	.	ab	0.00921	460.61
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	105536	106057	.	ab	0.096334	159.99
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	106102	106623	.	ab	0.082937	189.79
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	106469	106990	.	ab	0.020803	399.43
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	107036	107557	.	ab	0.014414	431.61
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	107103	107624	.	ab	0.010401	453.7
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	110996	111517	.	ab	0.0031509	500.09
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	111398	111919	.	ab	4.7832e-08	584.97
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	111542	112063	.	ab	0.0022634	507.15
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	112001	112522	.	ab	0.0041641	492.7
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	113548	114069	.	ab	0.007593	470.32
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	114261	114782	.	ab	0.0028941	502.06
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	115186	115707	.	ab	4.7832e-08	584.97
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	116535	117056	.	ab	0.011554	447.17
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	116575	117096	.	ab	0.011766	445.99
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	118226	118747	.	ab	0.010116	455.33
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	119026	119547	.	ab	0.042691	308.33
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	119450	119971	.	ab	0.034995	337.56
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	120149	120670	.	ab	0.0020381	509.08
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	121617	122138	.	ab	0.0010928	518.31
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	123177	123698	.	ab	4.7832e-08	584.97
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	123870	124391	.	ab	4.7832e-08	584.97
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	123893	124414	.	ab	4.7832e-08	584.97
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	125124	125645	.	ab	0.036321	332.33
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	126091	126612	.	ab	0.018264	411.83
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	126457	126978	.	ab	0.010575	452.7
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	127555	128076	.	ab	0.027218	370.02
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	128884	129405	.	ab	0.012535	441.74
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	129715	130236	.	ab	0.015527	425.76
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	129911	130432	.	ab	0.02115	397.77
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	130884	131405	.	ab	0.018976	408.3
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	131069	131590	.	ab	0.02446	382.34
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	132908	133429	.	ab	0.0071978	472.76
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	133461	133982	.	ab	0.0073377	471.9
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	134142	134663	.	ab	0.0037836	495.41
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	135579	136100	.	ab	0.011316	448.51
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	135933	136454	.	ab	0.0025211	505.02
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	136776	137297	.	ab	0.014719	429.99
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	136882	137403	.	ab	0.0097359	457.54
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	136908	137429	.	ab	0.0088559	462.7
gdiff	AG-903-K22_contigs.fasta	AG-917-C08_contigs.fasta	AG-903-K22_NODE_1	137697	138218	.	ab	0.020916	398.88
