# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-893-J08.gdsk selected_coord_sketches/AG-899-G03.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-893-J08_AG-899-G03.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:09 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-893-J08_contigs.fasta	AG-899-G03_contigs.fasta	AG-893-J08_NODE_1	715	1236	.	ab	0.026258	376.63
gdiff	AG-893-J08_contigs.fasta	AG-899-G03_contigs.fasta	AG-893-J08_NODE_1	901	1422	.	ab	0.052772	275.4
gdiff	AG-893-J08_contigs.fasta	AG-899-G03_contigs.fasta	AG-893-J08_NODE_1	2209	2730	.	ab	0.069234	226.06
gdiff	AG-893-J08_contigs.fasta	AG-899-G03_contigs.fasta	AG-893-J08_NODE_1	2299	2820	.	ab	0.069798	224.52
gdiff	AG-893-J08_contigs.fasta	AG-899-G03_contigs.fasta	AG-893-J08_NODE_1	4364	4885	.	ab	0.21229	24.638
gdiff	AG-893-J08_contigs.fasta	AG-899-G03_contigs.fasta	AG-893-J08_NODE_1	4470	4991	.	ab	0.29182	2.6881
gdiff	AG-893-J08_contigs.fasta	AG-899-G03_contigs.fasta	AG-893-J08_NODE_1	4857	5378	.	ab	nan	nan
gdiff	AG-893-J08_contigs.fasta	AG-899-G03_contigs.fasta	AG-893-J08_NODE_1	5791	6312	.	ab	0.24406	11.973
gdiff	AG-893-J08_contigs.fasta	AG-899-G03_contigs.fasta	AG-893-J08_NODE_1	6146	6667	.	ab	0.2889	3.0183
gdiff	AG-893-J08_contigs.fasta	AG-899-G03_contigs.fasta	AG-893-J08_NODE_1	7324	7845	.	ab	0.3502	0
gdiff	AG-893-J08_contigs.fasta	AG-899-G03_contigs.fasta	AG-893-J08_NODE_1	7595	8116	.	ab	0.32181	0.53046
gdiff	AG-893-J08_contigs.fasta	AG-899-G03_contigs.fasta	AG-893-J08_NODE_1	8781	9302	.	ab	nan	nan
gdiff	AG-893-J08_contigs.fasta	AG-899-G03_contigs.fasta	AG-893-J08_NODE_1	8827	9348	.	ab	nan	nan
gdiff	AG-893-J08_contigs.fasta	AG-899-G03_contigs.fasta	AG-893-J08_NODE_1	9478	9999	.	ab	0.20194	30.343
gdiff	AG-893-J08_contigs.fasta	AG-899-G03_contigs.fasta	AG-893-J08_NODE_1	10339	10860	.	ab	0.19382	35.462
gdiff	AG-893-J08_contigs.fasta	AG-899-G03_contigs.fasta	AG-893-J08_NODE_1	11333	11854	.	ab	0.12997	101.49
gdiff	AG-893-J08_contigs.fasta	AG-899-G03_contigs.fasta	AG-893-J08_NODE_1	13100	13621	.	ab	0.028323	367.51
gdiff	AG-893-J08_contigs.fasta	AG-899-G03_contigs.fasta	AG-893-J08_NODE_1	13219	13740	.	ab	0.031088	355.68
gdiff	AG-893-J08_contigs.fasta	AG-899-G03_contigs.fasta	AG-893-J08_NODE_1	14127	14648	.	ab	0.076122	207.79
