# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-426-L23.gdsk selected_coord_sketches/AG-410-O02.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-426-L23_AG-410-O02.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:05 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	591	1112	.	ab	0.30395	1.5263
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	720	1100	.	ab	0.33635	0
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	745	1266	.	ab	0.31666	0.73798
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	1100	1558	.	ab	0.31076	0.73835
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	1616	2803	.	ab	0.23925	37.202
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	1826	2347	.	ab	0.22753	17.476
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	1900	2421	.	ab	0.22753	17.476
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	2808	3320	.	ab	0.29049	2.6811
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	3311	4345	.	ab	0.28331	10.663
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	3606	4127	.	ab	0.25597	8.6137
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	3694	4215	.	ab	0.25597	8.6137
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	4014	4535	.	ab	0.34974	0
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	4424	5182	.	ab	0.25515	14.828
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	4786	5307	.	ab	0.23585	14.411
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	5080	5601	.	ab	0.24458	11.633
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	5185	5529	.	ab	0.24092	6.9677
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	5522	6073	.	ab	0.25029	10.865
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	6053	6574	.	ab	0.22076	20.302
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	6161	6481	.	ab	0.19556	18.388
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	6277	6798	.	ab	0.22076	20.302
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	6661	7368	.	ab	0.2909	4.7244
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	7257	7778	.	ab	0.32131	0.53006
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	7295	7816	.	ab	0.30395	1.5263
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	7365	7592	.	ab	0.31309	0
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	7604	8023	.	ab	0.21915	15.84
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	7833	8354	.	ab	0.22938	16.756
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	8025	9899	.	ab	0.26551	35.534
gdiff	AG-410-O02_contigs.fasta	AG-426-L23_contigs.fasta	AG-410-O02_NODE_1	8545	9066	.	ab	0.28132	3.9151
