# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-916-G03.gdsk selected_coord_sketches/AG-349-L17.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-916-G03_AG-349-L17.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:05 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-349-L17_contigs.fasta	AG-916-G03_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	647	1168	.	ab	0.26884	5.9701
gdiff	AG-349-L17_contigs.fasta	AG-916-G03_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	816	1337	.	ab	0.25118	9.8883
gdiff	AG-349-L17_contigs.fasta	AG-916-G03_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	2001	2522	.	ab	0.24979	10.256
gdiff	AG-349-L17_contigs.fasta	AG-916-G03_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	2082	2603	.	ab	0.25468	8.9988
gdiff	AG-349-L17_contigs.fasta	AG-916-G03_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	3951	4472	.	ab	0.22217	19.837
gdiff	AG-349-L17_contigs.fasta	AG-916-G03_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	4047	4568	.	ab	0.23112	16.227
gdiff	AG-349-L17_contigs.fasta	AG-916-G03_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	4398	4919	.	ab	0.32157	0.53027
gdiff	AG-349-L17_contigs.fasta	AG-916-G03_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	5244	5765	.	ab	0.27905	4.281
gdiff	AG-349-L17_contigs.fasta	AG-916-G03_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	5566	6087	.	ab	0.26423	6.8638
gdiff	AG-349-L17_contigs.fasta	AG-916-G03_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	6632	7153	.	ab	0.28864	3.0172
gdiff	AG-349-L17_contigs.fasta	AG-916-G03_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	6877	7398	.	ab	0.30067	1.811
gdiff	AG-349-L17_contigs.fasta	AG-916-G03_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	7952	8473	.	ab	0.30067	1.811
gdiff	AG-349-L17_contigs.fasta	AG-916-G03_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	7993	8514	.	ab	0.30067	1.811
gdiff	AG-349-L17_contigs.fasta	AG-916-G03_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	8582	9103	.	ab	0.2465	11.17
gdiff	AG-349-L17_contigs.fasta	AG-916-G03_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	9363	9884	.	ab	0.23383	15.234
gdiff	AG-349-L17_contigs.fasta	AG-916-G03_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	10262	10783	.	ab	0.2119	24.668
gdiff	AG-349-L17_contigs.fasta	AG-916-G03_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	11862	12383	.	ab	0.27172	5.4547
gdiff	AG-349-L17_contigs.fasta	AG-916-G03_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	11970	12491	.	ab	0.27172	5.4547
gdiff	AG-349-L17_contigs.fasta	AG-916-G03_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	12792	13313	.	ab	0.30421	1.527
gdiff	AG-349-L17_contigs.fasta	AG-916-G03_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	13464	13985	.	ab	0.28864	3.0172
gdiff	AG-349-L17_contigs.fasta	AG-916-G03_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	17669	18190	.	ab	0.22921	16.954
gdiff	AG-349-L17_contigs.fasta	AG-916-G03_contigs.fasta	AG-349-L17_AG-349-L17_NODE_1	18687	19208	.	ab	0.14745	77.637
