genome	role	contig	contig_len	n_contigs	gene	gene_start	gene_end	gene_len	strand	mapped	mapped_pairs	mapped_as_query	mapped_as_reference	mapped_refs
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00002	788	2572	1785	+	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00005	3836	4240	405	+	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00010	6751	7446	696	+	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00026	24308	25714	1407	-	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00030	28250	29986	1737	+	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00043	38029	38349	321	-	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00052	41318	42319	1002	-	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00058	45226	46512	1287	-	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00059	46575	47486	912	-	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00061	48495	50420	1926	-	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00062	50421	51218	798	-	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00063	51306	52280	975	-	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00064	52426	53772	1347	+	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00066	54905	57349	2445	+	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00078	65866	66738	873	+	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00080	67664	68734	1071	+	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00090	76327	76881	555	-	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00094	78151	78750	600	-	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00095	78754	79623	870	-	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00105	87676	89130	1455	-	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00106	89287	91227	1941	+	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00107	91218	92234	1017	+	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00112	94335	95231	897	-	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00113	95231	96733	1503	-	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00117	100022	101401	1380	+	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00120	104498	106099	1602	+	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00127	110968	111651	684	-	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_1	142378	27	AG-337-D17_00128	111655	111897	243	-	1	1	1	0	1
AG-337-D17	query	AG-337-D17_NODE_10	48036	27	AG-337-D17_00776	7535	8830	1296	-	1	1	1	0	1
