# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-893-J08.gdsk selected_coord_sketches/AG-910-M23.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-893-J08_AG-910-M23.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:11 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-893-J08_contigs.fasta	AG-910-M23_contigs.fasta	AG-893-J08_NODE_1	715	1236	.	ab	0.056523	261
gdiff	AG-893-J08_contigs.fasta	AG-910-M23_contigs.fasta	AG-893-J08_NODE_1	901	1422	.	ab	0.09653	159.11
gdiff	AG-893-J08_contigs.fasta	AG-910-M23_contigs.fasta	AG-893-J08_NODE_1	2209	2730	.	ab	0.073035	213.89
gdiff	AG-893-J08_contigs.fasta	AG-910-M23_contigs.fasta	AG-893-J08_NODE_1	2299	2820	.	ab	0.071474	218.01
gdiff	AG-893-J08_contigs.fasta	AG-910-M23_contigs.fasta	AG-893-J08_NODE_1	4364	4885	.	ab	0.081697	192.18
gdiff	AG-893-J08_contigs.fasta	AG-910-M23_contigs.fasta	AG-893-J08_NODE_1	4470	4991	.	ab	0.084789	184.87
gdiff	AG-893-J08_contigs.fasta	AG-910-M23_contigs.fasta	AG-893-J08_NODE_1	4857	5378	.	ab	0.098335	155.41
gdiff	AG-893-J08_contigs.fasta	AG-910-M23_contigs.fasta	AG-893-J08_NODE_1	5791	6312	.	ab	0.11003	133.02
gdiff	AG-893-J08_contigs.fasta	AG-910-M23_contigs.fasta	AG-893-J08_NODE_1	6146	6667	.	ab	0.30057	1.8108
gdiff	AG-893-J08_contigs.fasta	AG-910-M23_contigs.fasta	AG-893-J08_NODE_1	7324	7845	.	ab	0.26009	7.7151
gdiff	AG-893-J08_contigs.fasta	AG-910-M23_contigs.fasta	AG-893-J08_NODE_1	7595	8116	.	ab	0.14239	83.689
gdiff	AG-893-J08_contigs.fasta	AG-910-M23_contigs.fasta	AG-893-J08_NODE_1	8781	9302	.	ab	0.18855	38.765
gdiff	AG-893-J08_contigs.fasta	AG-910-M23_contigs.fasta	AG-893-J08_NODE_1	8827	9348	.	ab	0.1988	31.956
gdiff	AG-893-J08_contigs.fasta	AG-910-M23_contigs.fasta	AG-893-J08_NODE_1	9478	9999	.	ab	0.23604	14.417
gdiff	AG-893-J08_contigs.fasta	AG-910-M23_contigs.fasta	AG-893-J08_NODE_1	10339	10860	.	ab	0.21188	24.616
