# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-917-M22.gdsk selected_coord_sketches/AG-905-A10.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-917-M22_AG-905-A10.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:12 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	524	1045	.	ab	0.22257	19.602
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	581	2287	.	ab	0.26114	35.311
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	661	1182	.	ab	0.24638	11.166
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	1620	2141	.	ab	0.26617	6.453
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	1686	2207	.	ab	0.26617	6.453
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	2415	3062	.	ab	0.25142	13.233
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	3200	3721	.	ab	0.24118	12.722
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	3204	4859	.	ab	0.24325	50.352
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	3277	3798	.	ab	0.23265	15.611
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	3561	4082	.	ab	0.2544	9.0374
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	4246	4767	.	ab	0.26208	7.2825
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	4507	5028	.	ab	0.25106	9.8853
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	4840	5076	.	ab	0.24265	3.5055
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	5065	6336	.	ab	0.23139	47.608
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	5370	5891	.	ab	0.21779	21.733
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	5569	6090	.	ab	0.24058	12.911
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	6348	7004	.	ab	0.29216	3.9994
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	6438	6959	.	ab	0.29146	2.6861
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	6472	6993	.	ab	0.28148	3.9166
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	6949	7470	.	ab	0.27322	5.1789
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	7293	9206	.	ab	0.27994	25.948
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	7581	8102	.	ab	0.29146	2.6861
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	8309	8830	.	ab	0.24212	12.43
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	9239	10198	.	ab	0.25802	18.83
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	9605	10126	.	ab	0.25625	8.5896
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	9692	10213	.	ab	0.25625	8.5896
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	10206	10634	.	ab	0.24794	8.0615
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	10358	10879	.	ab	0.24314	12.12
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	10634	11740	.	ab	0.30764	5.5183
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	10902	11423	.	ab	nan	nan
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	12071	13756	.	ab	0.2509	43.675
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	13851	15770	.	ab	0.249	52.747
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	14307	14828	.	ab	0.29146	2.6861
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	15131	15652	.	ab	0.24058	12.911
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	15802	16470	.	ab	0.25301	13.276
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	16214	16735	.	ab	0.24761	10.817
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	16472	17392	.	ab	0.23622	29.469
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	16976	17497	.	ab	0.2397	13.194
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	17397	18296	.	ab	0.26372	15.03
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	17572	18093	.	ab	0.2544	9.0374
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	17784	18305	.	ab	0.2528	9.4351
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	17872	18393	.	ab	0.26411	6.8618
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	18299	19294	.	ab	0.27087	14.287
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	19284	20450	.	ab	0.28513	12.015
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	19658	20179	.	ab	0.27095	5.5676
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	20447	21415	.	ab	0.23251	33.894
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	21464	22645	.	ab	0.23872	37.554
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	21555	22076	.	ab	0.23046	16.422
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	22249	22770	.	ab	0.24524	11.495
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	22301	22822	.	ab	0.25457	8.9954
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	22439	22960	.	ab	0.24802	10.704
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	22832	23764	.	ab	0.25165	21.151
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	22975	23496	.	ab	0.23753	13.905
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	23764	24510	.	ab	0.21858	33.192
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	23880	24401	.	ab	0.23184	15.906
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	24662	25726	.	ab	0.28337	11.132
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	24756	25277	.	ab	0.27322	5.1789
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	25516	26037	.	ab	0.29146	2.6861
gdiff	AG-905-A10_contigs.fasta	AG-917-M22_contigs.fasta	AG-905-A10_NODE_1	25719	26429	.	ab	0.31788	1.5592
