# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-426-F11.gdsk selected_coord_sketches/AG-910-J22.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-426-F11_AG-910-J22.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:11 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-426-F11_contigs.fasta	AG-910-J22_contigs.fasta	AG-426-F11_NODE_1	579	1100	.	ab	0.24361	12.133
gdiff	AG-426-F11_contigs.fasta	AG-910-J22_contigs.fasta	AG-426-F11_NODE_1	730	1251	.	ab	0.25303	9.5034
gdiff	AG-426-F11_contigs.fasta	AG-910-J22_contigs.fasta	AG-426-F11_NODE_1	1790	2311	.	ab	0.26046	7.7377
gdiff	AG-426-F11_contigs.fasta	AG-910-J22_contigs.fasta	AG-426-F11_NODE_1	1863	2384	.	ab	0.26046	7.7377
gdiff	AG-426-F11_contigs.fasta	AG-910-J22_contigs.fasta	AG-426-F11_NODE_1	3536	4057	.	ab	0.26661	6.4609
gdiff	AG-426-F11_contigs.fasta	AG-910-J22_contigs.fasta	AG-426-F11_NODE_1	3622	4143	.	ab	0.26046	7.7377
gdiff	AG-426-F11_contigs.fasta	AG-910-J22_contigs.fasta	AG-426-F11_NODE_1	3936	4457	.	ab	0.29189	2.6884
gdiff	AG-426-F11_contigs.fasta	AG-910-J22_contigs.fasta	AG-426-F11_NODE_1	4693	5214	.	ab	0.26054	7.7206
gdiff	AG-426-F11_contigs.fasta	AG-910-J22_contigs.fasta	AG-426-F11_NODE_1	4981	5502	.	ab	0.29757	2.1147
gdiff	AG-426-F11_contigs.fasta	AG-910-J22_contigs.fasta	AG-426-F11_NODE_1	5935	6456	.	ab	0.26456	6.869
gdiff	AG-426-F11_contigs.fasta	AG-910-J22_contigs.fasta	AG-426-F11_NODE_1	6155	6676	.	ab	0.27938	4.2834
gdiff	AG-426-F11_contigs.fasta	AG-910-J22_contigs.fasta	AG-426-F11_NODE_1	7116	7637	.	ab	0.2057	28.215
gdiff	AG-426-F11_contigs.fasta	AG-910-J22_contigs.fasta	AG-426-F11_NODE_1	7153	7674	.	ab	0.20043	31.306
gdiff	AG-426-F11_contigs.fasta	AG-910-J22_contigs.fasta	AG-426-F11_NODE_1	7680	8201	.	ab	0.23801	13.92
gdiff	AG-426-F11_contigs.fasta	AG-910-J22_contigs.fasta	AG-426-F11_NODE_1	8379	8900	.	ab	0.26918	5.9733
gdiff	AG-426-F11_contigs.fasta	AG-910-J22_contigs.fasta	AG-426-F11_NODE_1	9184	9705	.	ab	0.25152	9.8968
gdiff	AG-426-F11_contigs.fasta	AG-910-J22_contigs.fasta	AG-426-F11_NODE_1	10616	11137	.	ab	0.044601	303.84
gdiff	AG-426-F11_contigs.fasta	AG-910-J22_contigs.fasta	AG-426-F11_NODE_1	10712	11233	.	ab	0.045887	299.27
gdiff	AG-426-F11_contigs.fasta	AG-910-J22_contigs.fasta	AG-426-F11_NODE_1	11448	11969	.	ab	0.086244	183.43
gdiff	AG-426-F11_contigs.fasta	AG-910-J22_contigs.fasta	AG-426-F11_NODE_1	12049	12570	.	ab	0.16624	57.883
gdiff	AG-426-F11_contigs.fasta	AG-910-J22_contigs.fasta	AG-426-F11_NODE_1	15812	16333	.	ab	0.059902	253.41
gdiff	AG-426-F11_contigs.fasta	AG-910-J22_contigs.fasta	AG-426-F11_NODE_1	16723	17244	.	ab	0.12533	108.68
