# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-461-M14.gdsk selected_coord_sketches/AG-390-G11.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-461-M14_AG-390-G11.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:09 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-390-G11_contigs.fasta	AG-461-M14_contigs.fasta	AG-390-G11_NODE_1	675	1196	.	ab	0.19103	37.31
gdiff	AG-390-G11_contigs.fasta	AG-461-M14_contigs.fasta	AG-390-G11_NODE_1	850	1371	.	ab	0.20086	30.943
gdiff	AG-390-G11_contigs.fasta	AG-461-M14_contigs.fasta	AG-390-G11_NODE_1	2085	2606	.	ab	0.26686	6.3856
gdiff	AG-390-G11_contigs.fasta	AG-461-M14_contigs.fasta	AG-390-G11_NODE_1	2170	2691	.	ab	0.23339	15.478
gdiff	AG-390-G11_contigs.fasta	AG-461-M14_contigs.fasta	AG-390-G11_NODE_1	4118	4639	.	ab	0.35015	0
gdiff	AG-390-G11_contigs.fasta	AG-461-M14_contigs.fasta	AG-390-G11_NODE_1	4218	4739	.	ab	0.35015	0
gdiff	AG-390-G11_contigs.fasta	AG-461-M14_contigs.fasta	AG-390-G11_NODE_1	4584	5105	.	ab	0.35015	0
gdiff	AG-390-G11_contigs.fasta	AG-461-M14_contigs.fasta	AG-390-G11_NODE_1	5465	5986	.	ab	0.22596	18.344
gdiff	AG-390-G11_contigs.fasta	AG-461-M14_contigs.fasta	AG-390-G11_NODE_1	5801	6322	.	ab	0.24092	12.924
gdiff	AG-390-G11_contigs.fasta	AG-461-M14_contigs.fasta	AG-390-G11_NODE_1	6912	7433	.	ab	0.24834	10.715
gdiff	AG-390-G11_contigs.fasta	AG-461-M14_contigs.fasta	AG-390-G11_NODE_1	7168	7689	.	ab	0.26648	6.4586
gdiff	AG-390-G11_contigs.fasta	AG-461-M14_contigs.fasta	AG-390-G11_NODE_1	8287	8808	.	ab	0.20134	30.655
gdiff	AG-390-G11_contigs.fasta	AG-461-M14_contigs.fasta	AG-390-G11_NODE_1	8331	8852	.	ab	0.20134	30.655
gdiff	AG-390-G11_contigs.fasta	AG-461-M14_contigs.fasta	AG-390-G11_NODE_1	8945	9466	.	ab	0.29745	2.1147
