# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-911-B04.gdsk selected_coord_sketches/AG-917-I17.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-911-B04_AG-917-I17.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:09 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-911-B04_contigs.fasta	AG-917-I17_contigs.fasta	AG-911-B04_NODE_1	163	1617	.	ab	0.024413	1108.3
gdiff	AG-911-B04_contigs.fasta	AG-917-I17_contigs.fasta	AG-911-B04_NODE_1	490	1011	.	ab	0.027942	369.68
gdiff	AG-911-B04_contigs.fasta	AG-917-I17_contigs.fasta	AG-911-B04_NODE_1	617	1138	.	ab	0.034107	343.69
gdiff	AG-911-B04_contigs.fasta	AG-917-I17_contigs.fasta	AG-911-B04_NODE_1	1513	2034	.	ab	0.012391	446.03
gdiff	AG-911-B04_contigs.fasta	AG-917-I17_contigs.fasta	AG-911-B04_NODE_1	1574	2095	.	ab	0.019898	406.94
gdiff	AG-911-B04_contigs.fasta	AG-917-I17_contigs.fasta	AG-911-B04_NODE_1	1797	3734	.	ab	0.032037	1358.8
gdiff	AG-911-B04_contigs.fasta	AG-917-I17_contigs.fasta	AG-911-B04_NODE_1	2988	3509	.	ab	0.043304	308.4
gdiff	AG-911-B04_contigs.fasta	AG-917-I17_contigs.fasta	AG-911-B04_NODE_1	3061	3582	.	ab	0.033659	345.52
gdiff	AG-911-B04_contigs.fasta	AG-917-I17_contigs.fasta	AG-911-B04_NODE_1	3326	3847	.	ab	0.031473	354.55
gdiff	AG-911-B04_contigs.fasta	AG-917-I17_contigs.fasta	AG-911-B04_NODE_1	3725	4756	.	ab	0.04484	616.13
gdiff	AG-911-B04_contigs.fasta	AG-917-I17_contigs.fasta	AG-911-B04_NODE_1	3965	4486	.	ab	0.040389	319.18
gdiff	AG-911-B04_contigs.fasta	AG-917-I17_contigs.fasta	AG-911-B04_NODE_1	4209	4730	.	ab	0.053923	272.02
