# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-426-F11.gdsk selected_coord_sketches/AG-904-K03.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-426-F11_AG-904-K03.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:14 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	579	1100	.	ab	0.087775	180.85
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	730	1251	.	ab	0.069568	226.71
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	1790	2311	.	ab	0.23253	15.94
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	1863	2384	.	ab	0.2459	11.523
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	3536	4057	.	ab	0.093935	167.14
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	3622	4143	.	ab	0.091538	172.37
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	3936	4457	.	ab	0.089529	176.86
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	4693	5214	.	ab	0.04039	321.05
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	4981	5502	.	ab	0.045809	301.17
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	5935	6456	.	ab	0.078119	204.12
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	6155	6676	.	ab	0.087777	180.84
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	7116	7637	.	ab	0.069727	226.28
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	7153	7674	.	ab	0.067242	233.21
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	7680	8201	.	ab	0.065022	239.56
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	8379	8900	.	ab	0.080211	198.88
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	9184	9705	.	ab	0.098252	158.03
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	10616	11137	.	ab	0.044759	304.93
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	10712	11233	.	ab	0.04608	300.21
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	11448	11969	.	ab	0.086473	183.85
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	12049	12570	.	ab	0.11296	129.83
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	15812	16333	.	ab	0.060662	252.45
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	16723	17244	.	ab	0.12557	108.86
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	17920	18441	.	ab	0.20703	27.629
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	18762	19283	.	ab	0.17071	53.975
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	19421	19942	.	ab	0.25173	9.9022
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	19656	20177	.	ab	0.20354	29.614
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	19753	20274	.	ab	0.21153	25.212
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	21727	22248	.	ab	0.25692	8.6027
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	23823	24344	.	ab	0.26721	6.3883
gdiff	AG-426-F11_contigs.fasta	AG-904-K03_contigs.fasta	AG-426-F11_NODE_1	24591	25112	.	ab	0.22227	20.081
