# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AH-287-B07.gdsk selected_coord_sketches/AG-447-O14.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AH-287-B07_AG-447-O14.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:11 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	45	557	.	ab	0.088757	173.51
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	591	1112	.	ab	0.097937	157.08
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	606	1169	.	ab	0.093469	180.92
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	745	1266	.	ab	0.10347	146.04
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	1162	2079	.	ab	0.053661	490.45
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	1828	2349	.	ab	0.038421	325.07
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	1902	2423	.	ab	0.046679	294.94
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	2079	2903	.	ab	0.067987	370.64
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	3064	4422	.	ab	0.063568	654.53
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	3610	4131	.	ab	0.074157	212.15
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	3697	4218	.	ab	0.075064	209.8
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	4018	4539	.	ab	0.044641	302.12
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	4435	4893	.	ab	0.039037	281.68
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	4790	5311	.	ab	0.086387	182.19
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	4908	5594	.	ab	0.070819	295.7
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	5084	5605	.	ab	0.066048	234.16
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	5611	6171	.	ab	0.12178	123.06
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	6058	6579	.	ab	0.17959	45.805
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	6183	7586	.	ab	0.1655	172.44
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	6282	6803	.	ab	0.13996	87.289
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	7263	7784	.	ab	0.14767	77.604
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	7301	7822	.	ab	0.14729	78.066
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	7587	8192	.	ab	0.17694	56.987
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	7840	8361	.	ab	0.15681	67.198
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	8185	9291	.	ab	0.12763	234.72
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	8552	9073	.	ab	0.14964	75.268
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	9318	11081	.	ab	0.1588	243.17
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	9374	9895	.	ab	0.1485	76.616
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	10836	11357	.	ab	0.15573	68.372
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	10934	11455	.	ab	0.1548	69.395
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	11084	12700	.	ab	0.12846	344.7
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	11685	12206	.	ab	0.15207	72.452
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	12299	12820	.	ab	0.089416	175.32
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	12708	13484	.	ab	0.17401	79.221
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	13481	14590	.	ab	0.19224	86.029
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	14606	15601	.	ab	0.29052	8.2633
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	15605	15985	.	ab	0.2511	6.184
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	15985	16314	.	ab	0.16813	32.4
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	16140	16661	.	ab	0.14761	77.685
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	16311	18086	.	ab	0.16712	215.41
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	17070	17591	.	ab	0.1627	61.07
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	18086	18865	.	ab	0.15277	111.79
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	18292	18813	.	ab	0.15383	70.466
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	18905	20398	.	ab	0.11351	388.63
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	19151	19672	.	ab	0.12028	116.15
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	19824	20345	.	ab	0.099054	154.8
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	20063	20584	.	ab	0.09817	156.6
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	20163	20684	.	ab	0.10516	142.81
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	20408	21370	.	ab	0.11945	226.82
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	21373	22533	.	ab	0.11688	285.8
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	22178	22699	.	ab	0.094231	164.82
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	22535	23410	.	ab	0.1023	257.79
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	23446	26364	.	ab	0.3131	18.393
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	24317	24838	.	ab	nan	nan
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	25101	25622	.	ab	0.29737	2.1147
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	25159	25680	.	ab	0.29737	2.1147
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	25315	25836	.	ab	nan	nan
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	25919	26440	.	ab	0.31704	0.73797
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	26370	27668	.	ab	0.34363	1.6083
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	26940	27461	.	ab	0.35008	0
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	27669	29069	.	ab	0.2783	18.475
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	27929	28450	.	ab	0.30433	1.5273
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	28786	29307	.	ab	0.25101	9.9697
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	29092	31047	.	ab	0.25972	42.965
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	29998	30519	.	ab	0.26641	6.4573
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	31156	31713	.	ab	0.35285	0
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	31714	33249	.	ab	0.0728	665.43
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	31804	32325	.	ab	nan	nan
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	32511	33032	.	ab	0.044021	304.33
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	33256	34128	.	ab	0.027767	628.83
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	33851	34372	.	ab	0.014508	432.3
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	34131	35549	.	ab	0.038875	910.38
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	35048	35569	.	ab	0.032553	348.34
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	35246	35767	.	ab	0.017441	417.09
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	35549	35941	.	ab	0.010386	338.59
gdiff	AG-447-O14_contigs.fasta	AH-287-B07_contigs.fasta	AG-447-O14_NODE_1	35933	36406	.	ab	0.063884	216.82
