# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-911-G16.gdsk selected_coord_sketches/AG-439-D05.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-911-G16_AG-439-D05.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:08 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	339	692	.	ab	0.33356	0
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	634	1155	.	ab	0.24244	12.442
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	695	820	.	ab	0.24381	0.72796
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	774	935	.	ab	0.22863	2.6634
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	799	1320	.	ab	0.22068	20.595
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	956	2044	.	ab	0.2232	47.347
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	1959	2480	.	ab	0.21341	24.029
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	2038	2559	.	ab	0.22569	18.447
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	2049	2357	.	ab	0.20593	14.206
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	2361	3755	.	ab	0.18788	119.07
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	3764	4462	.	ab	0.2139	33.964
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	3868	4389	.	ab	0.20606	27.916
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	3962	4483	.	ab	0.2101	25.727
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	4306	4827	.	ab	0.22213	19.953
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	4497	5702	.	ab	0.23715	40.051
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	5134	5655	.	ab	0.25311	9.4435
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	5449	5970	.	ab	0.28177	3.9192
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	5758	6795	.	ab	0.26011	19.927
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	6493	7014	.	ab	0.1302	100.98
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	6733	7254	.	ab	0.10398	145.3
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	7230	7811	.	ab	0.2066	31.526
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	7784	8305	.	ab	0.11259	129.39
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	7812	8042	.	ab	0.12414	43.09
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	7825	8346	.	ab	0.11796	120.15
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	8078	8818	.	ab	0.1491	112.01
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	8402	8923	.	ab	0.13397	95.571
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	8821	9381	.	ab	0.14851	83.161
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	9166	9687	.	ab	0.12977	101.61
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	9378	9842	.	ab	0.15863	57.27
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	9979	10989	.	ab	0.15847	135.74
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	10046	10567	.	ab	0.1505	74.379
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	10991	12169	.	ab	0.15906	158.55
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	11613	12134	.	ab	0.17987	45.652
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	11719	12240	.	ab	0.15795	66.08
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	12169	13176	.	ab	0.1418	173.94
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	12523	13044	.	ab	0.12692	105.88
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	13179	15137	.	ab	0.14512	332.76
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	13181	13702	.	ab	0.14866	76.548
gdiff	AG-439-D05_contigs.fasta	AG-911-G16_contigs.fasta	AG-439-D05_NODE_1	15191	15514	.	ab	0.1198	68.566
