# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-900-G22.gdsk selected_coord_sketches/AG-337-C14.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-900-G22_AG-337-C14.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:12 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	67	303	.	ab	0.038695	138.81
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	308	529	.	ab	0.026439	150.32
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	526	1482	.	ab	0.058307	487.55
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	590	1111	.	ab	0.052266	277.59
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	743	1264	.	ab	0.058207	258.65
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	1502	2935	.	ab	0.051361	801.43
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	1822	2343	.	ab	0.056325	264.52
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	1896	2417	.	ab	0.063229	243.55
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	2932	4119	.	ab	0.058386	608.91
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	3598	4119	.	ab	0.045357	301.22
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	3686	4207	.	ab	0.049298	287.52
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	4005	4526	.	ab	0.06017	252.65
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	4145	4486	.	ab	0.062982	154.74
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	4489	5079	.	ab	0.2948	3.0394
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	4775	5296	.	ab	0.14405	82.469
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	5068	5589	.	ab	0.09096	172.8
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	5083	7758	.	ab	0.07269	1179.9
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	6039	6560	.	ab	0.074479	212.43
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	6263	6784	.	ab	0.066455	234.25
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	7241	7762	.	ab	0.084472	187.62
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	7279	7800	.	ab	0.089613	175.79
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	7751	8395	.	ab	0.25881	11.007
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	7815	8336	.	ab	0.28897	3.0186
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	8388	9659	.	ab	0.24069	39.686
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	8526	9047	.	ab	0.23887	13.639
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	9345	9866	.	ab	0.28192	3.9205
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	9659	10087	.	ab	0.31314	0.52362
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	10084	11136	.	ab	0.25073	25.4
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	10802	11323	.	ab	0.28192	3.9205
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	10900	11421	.	ab	0.28192	3.9205
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	11140	11559	.	ab	0.31218	0.52282
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	11556	12980	.	ab	0.2789	18.696
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	11649	12170	.	ab	0.30453	1.5279
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	12260	12781	.	ab	0.24569	11.514
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	12973	14118	.	ab	0.3223	3.4243
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	14122	15447	.	ab	0.27806	17.43
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	15487	16806	.	ab	0.30767	7.3498
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	16090	16611	.	ab	0.30453	1.5279
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	16809	17489	.	ab	0.30403	2.7457
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	17016	17537	.	ab	0.32188	0.53052
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	17489	18367	.	ab	0.24836	21.454
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	18234	18755	.	ab	0.34281	0.032409
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	18377	18532	.	ab	nan	nan
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	18580	18816	.	ab	nan	nan
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	18828	20228	.	ab	0.38904	0
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	19091	19612	.	ab	nan	nan
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	19762	20283	.	ab	0.35027	0
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	20001	20522	.	ab	0.35027	0
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	20100	20621	.	ab	0.35027	0
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	20360	20767	.	ab	nan	nan
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	20770	22164	.	ab	0.38888	0
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	22108	22629	.	ab	0.29189	2.6885
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	22164	23018	.	ab	0.30238	4.4171
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	23006	23947	.	ab	0.33041	1.5848
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	23970	25439	.	ab	0.3068	8.8532
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	24242	24763	.	ab	nan	nan
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	25022	25543	.	ab	0.31724	0.73797
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	25080	25601	.	ab	0.31724	0.73797
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	25236	25757	.	ab	0.301	1.8115
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	25507	26832	.	ab	0.38698	0
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	25838	26359	.	ab	nan	nan
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	26856	27377	.	ab	0.29189	2.6885
gdiff	AG-337-C14_contigs.fasta	AG-900-G22_contigs.fasta	AG-337-C14_NODE_1	26930	27280	.	ab	0.33332	0
