# 120 genome pairs selected from anib-groundtruth.csv
# 8 ANI bins x 15 pairs each: (70,75] (75,80] (80,85] (85,90] (90,95] (95,97.5] (97.5,99] (99,100]
# seed=42; both genomes present in contigs-gt80-complete
# query	subject	ANI%
AG-430-K19	AG-905-O21	70.1671
AG-390-C17	AG-899-C14	70.4023
AG-918-G22	AG-916-O06	71.7301
AG-390-L03	AG-422-B23	71.8188
AG-422-L15	AG-461-M14	71.8382
AG-447-K11	AG-426-L23	71.9966
AG-916-G03	AG-349-L17	72.0331
AG-426-L23	AG-410-O02	72.1709
AG-909-N22	AG-422-J20	73.6224
AG-390-A23	AG-891-E06	74.3136
AG-911-G03	AG-911-N14	74.5046
AG-422-G15	AG-913-I22	74.6994
AG-470-D16	AG-912-I02	74.7494
AG-913-O18	AG-903-F09	74.7834
AG-896-G07	AG-325-L02	74.8041
AG-390-I15	AG-439-C22	75.0294
AG-422-F15	AG-422-L15	75.0452
AG-920-J04	AG-907-F09	75.1357
AG-422-N14	AG-916-E19	75.1852
AG-461-L09	AG-911-D18	75.3694
AG-343-K02	AG-422-G15	75.4471
AG-891-I18	AG-414-K15	75.6042
AG-337-G04	AG-918-G15	76.1897
AG-898-C07	AG-325-L05	77.1495
AG-470-O10	AG-892-O03	77.2665
AG-917-C11	AG-359-G22	77.3442
AG-895-F17	AG-909-G08	77.5035
AG-337-D17	AG-447-C06	78.6954
AG-349-O13	AH-321-K15	79.4091
AG-390-G11	AG-461-M14	79.8449
AG-430-E20	AG-390-D18	80.1421
AG-905-P05	AG-908-I10	80.2578
AG-359-I09	AH-321-G15	80.2714
AG-897-G15	AG-422-C13	80.3166
AG-916-P21	AG-349-O05	80.5163
AG-410-K05	AH-287-E08	80.7276
AG-891-A05	AG-390-G11	80.8448
AG-911-D18	AG-333-A04	80.8541
AG-897-O11	AG-893-L06	80.9504
AG-911-G16	AG-461-B13	81.0260
AG-390-A23	AG-917-C11	81.0300
AG-913-M07	AG-915-C06	82.3989
AG-918-M15	AG-337-E15	83.1699
AG-325-K03	AG-905-E11	84.7292
AG-426-E17	AG-918-E06	84.8252
AG-898-F23	AG-414-K15	85.0792
AG-918-B06	AG-918-P10	85.1397
AG-918-B06	AG-426-F11	85.3814
AG-898-G21	AG-470-G21	85.4660
AG-422-E09	AH-287-E09	85.4664
AG-891-O15	AG-910-G11	85.5099
AG-915-G14	AG-470-G21	85.7351
AG-447-O14	AH-287-B07	86.9216
AG-911-G16	AG-439-D05	87.9357
AG-899-J02	AG-916-M06	88.2330
AG-903-D02	AG-911-D18	88.3121
AG-918-L21	AG-430-O11	88.7256
AG-349-L17	AG-894-P23	89.2655
AG-915-G13	AG-905-O08	89.6946
AG-910-M23	AG-893-J08	89.9242
AG-896-D15	AG-911-K05	90.2908
AG-893-L06	AG-916-M06	90.4424
AG-910-M23	AG-916-E19	90.4468
AG-453-K22	AG-430-F16	90.4764
AG-337-C14	AG-900-G22	90.5423
AG-913-M07	AG-893-F05	91.7829
AG-910-E21	AG-359-O11	92.3469
AG-893-J08	AG-899-G03	92.5793
AG-900-I19	AG-915-G14	93.0666
AG-896-G07	AG-899-G03	93.2089
AG-917-M17	AG-919-N08	93.3013
AG-919-C02	AG-905-E10	94.0481
AG-904-L02	AG-447-N18	94.1665
AG-422-N09	AG-896-A02	94.4006
AG-915-K13	AG-917-I17	94.6441
AG-919-L14	AG-903-F09	95.0807
AG-911-G03	AG-912-F16	95.1846
AG-905-A10	AG-917-M22	95.4102
AG-915-K13	AG-359-C09	95.4459
AG-915-E06	AG-917-P07	95.5086
AG-911-B04	AG-917-I17	95.5204
AG-414-L09	AG-903-K22	95.5352
AG-903-K22	AG-917-C08	95.7320
AG-414-O11	AG-920-O11	95.9614
AG-911-I16	AG-894-I07	95.9696
AG-414-L09	AG-414-O11	96.1133
AG-911-B04	AG-920-K11	96.1966
AG-920-O11	AG-912-F16	96.3930
AG-426-E17	AG-916-A21	96.6548
AG-913-A04	AG-917-P07	96.7035
AG-903-K22	AG-916-M15	97.5550
AG-899-C09	AG-916-M14	97.5832
AG-918-L21	AG-903-K22	97.6416
AG-414-O11	AG-917-P07	97.6603
AG-917-P07	AG-917-C08	97.6927
AG-920-K11	AG-916-M15	97.7164
AG-916-B06	AG-897-G09	97.7321
AG-359-E10	AG-916-M15	97.8779
AG-359-E10	AG-903-K22	97.8780
AG-359-E10	AG-920-K11	98.1127
AG-903-D02	AG-912-F16	98.1442
AG-905-A10	AG-430-E20	98.3833
AG-905-A10	AG-903-D02	98.4459
AG-899-P08	AG-916-E15	98.4736
AG-453-B23	AG-390-N04	98.8338
AG-904-K03	AG-426-F11	99.1056
AG-918-E02	AG-913-G10	99.2208
AG-426-F11	AG-910-J22	99.2691
AG-390-M07	AG-349-E20	99.4328
AG-913-I23	AG-901-D23	99.5296
AG-893-E23	AG-891-G05	99.6686
AG-907-B04	AG-893-E21	99.6961
AG-914-L03	AG-898-J19	99.7337
AG-893-K11	AG-894-A06	99.8416
AG-893-N07	AG-359-J18	99.8639
AG-892-K05	AG-912-C08	99.8939
AG-426-O21	AG-430-F05	99.9059
AG-917-C11	AG-917-P07	99.9794
AG-893-L07	AG-904-K03	99.9817
AG-903-C11	AG-894-B06	99.9921
