# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-896-A02.gdsk selected_coord_sketches/AG-422-N09.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-896-A02_AG-422-N09.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:12 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-422-N09_contigs.fasta	AG-896-A02_contigs.fasta	AG-422-N09_AG-422-N09_NODE_1	651	1172	.	ab	0.022221	408.03
gdiff	AG-422-N09_contigs.fasta	AG-896-A02_contigs.fasta	AG-422-N09_AG-422-N09_NODE_1	820	1341	.	ab	0.025779	390.99
gdiff	AG-422-N09_contigs.fasta	AG-896-A02_contigs.fasta	AG-422-N09_AG-422-N09_NODE_1	2012	2533	.	ab	0.012663	458.58
gdiff	AG-422-N09_contigs.fasta	AG-896-A02_contigs.fasta	AG-422-N09_AG-422-N09_NODE_1	2093	2614	.	ab	0.015116	444.85
gdiff	AG-422-N09_contigs.fasta	AG-896-A02_contigs.fasta	AG-422-N09_AG-422-N09_NODE_1	3973	4494	.	ab	0.070836	228.41
gdiff	AG-422-N09_contigs.fasta	AG-896-A02_contigs.fasta	AG-422-N09_AG-422-N09_NODE_1	4070	4591	.	ab	0.08262	197.41
gdiff	AG-422-N09_contigs.fasta	AG-896-A02_contigs.fasta	AG-422-N09_AG-422-N09_NODE_1	4422	4943	.	ab	0.033022	358.72
gdiff	AG-422-N09_contigs.fasta	AG-896-A02_contigs.fasta	AG-422-N09_AG-422-N09_NODE_1	5273	5794	.	ab	0.039213	333.38
gdiff	AG-422-N09_contigs.fasta	AG-896-A02_contigs.fasta	AG-422-N09_AG-422-N09_NODE_1	5596	6117	.	ab	0.037861	338.75
gdiff	AG-422-N09_contigs.fasta	AG-896-A02_contigs.fasta	AG-422-N09_AG-422-N09_NODE_1	6668	7189	.	ab	0.071337	227.01
gdiff	AG-422-N09_contigs.fasta	AG-896-A02_contigs.fasta	AG-422-N09_AG-422-N09_NODE_1	6915	7436	.	ab	0.064308	247.26
gdiff	AG-422-N09_contigs.fasta	AG-896-A02_contigs.fasta	AG-422-N09_AG-422-N09_NODE_1	7995	8516	.	ab	0.036377	344.75
gdiff	AG-422-N09_contigs.fasta	AG-896-A02_contigs.fasta	AG-422-N09_AG-422-N09_NODE_1	8037	8558	.	ab	0.037949	338.4
gdiff	AG-422-N09_contigs.fasta	AG-896-A02_contigs.fasta	AG-422-N09_AG-422-N09_NODE_1	8629	9150	.	ab	0.12615	110.39
gdiff	AG-422-N09_contigs.fasta	AG-896-A02_contigs.fasta	AG-422-N09_AG-422-N09_NODE_1	9414	9935	.	ab	nan	nan
gdiff	AG-422-N09_contigs.fasta	AG-896-A02_contigs.fasta	AG-422-N09_AG-422-N09_NODE_1	10318	10839	.	ab	0.02076	415.28
gdiff	AG-422-N09_contigs.fasta	AG-896-A02_contigs.fasta	AG-422-N09_AG-422-N09_NODE_1	11927	12448	.	ab	0.045085	311.01
gdiff	AG-422-N09_contigs.fasta	AG-896-A02_contigs.fasta	AG-422-N09_AG-422-N09_NODE_1	12036	12557	.	ab	0.051942	286.72
gdiff	AG-422-N09_contigs.fasta	AG-896-A02_contigs.fasta	AG-422-N09_AG-422-N09_NODE_1	12862	13383	.	ab	0.051836	287.09
