genome	role	contig	contig_len	n_contigs	gene	gene_start	gene_end	gene_len	strand	mapped	mapped_pairs	mapped_as_query	mapped_as_reference	mapped_refs
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00008	5742	7100	1359	+	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00010	7600	8286	687	+	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00012	8881	10284	1404	+	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00013	10284	10889	606	+	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00014	10882	11988	1107	+	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00015	12015	13778	1764	+	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00016	13781	15397	1617	+	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00017	15406	16182	777	+	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00022	19019	20794	1776	+	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00025	23118	24080	963	+	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00027	25244	26119	876	+	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00028	26155	29073	2919	+	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00032	32966	33763	798	+	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00033	33872	34429	558	+	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00034	34430	35965	1536	+	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00035	35972	36847	876	+	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00036	36850	38268	1419	+	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00041	40636	41193	558	-	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00070	67691	68977	1287	+	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00076	72404	75526	3123	-	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00079	77271	77714	444	-	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00081	78686	79258	573	+	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00093	89401	90285	885	+	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00094	90287	91477	1191	+	1	1	0	1	1
AG-461-B13	reference	AG-461-B13_NODE_1	105226	37	AG-461-B13_00103	98547	100373	1827	-	1	1	0	1	1
