# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-918-B06.gdsk selected_coord_sketches/AG-426-F11.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-918-B06_AG-426-F11.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:07 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-426-F11_contigs.fasta	AG-918-B06_contigs.fasta	AG-426-F11_NODE_1	579	1100	.	ab	0.26658	6.4604
gdiff	AG-426-F11_contigs.fasta	AG-918-B06_contigs.fasta	AG-426-F11_NODE_1	730	1251	.	ab	0.3045	1.5278
gdiff	AG-426-F11_contigs.fasta	AG-918-B06_contigs.fasta	AG-426-F11_NODE_1	1790	2311	.	ab	0.2501	10.267
gdiff	AG-426-F11_contigs.fasta	AG-918-B06_contigs.fasta	AG-426-F11_NODE_1	1863	2384	.	ab	0.25499	9.0076
gdiff	AG-426-F11_contigs.fasta	AG-918-B06_contigs.fasta	AG-426-F11_NODE_1	3536	4057	.	ab	0.24519	11.651
gdiff	AG-426-F11_contigs.fasta	AG-918-B06_contigs.fasta	AG-426-F11_NODE_1	3622	4143	.	ab	0.22606	18.351
gdiff	AG-426-F11_contigs.fasta	AG-918-B06_contigs.fasta	AG-426-F11_NODE_1	3936	4457	.	ab	0.24845	10.718
gdiff	AG-426-F11_contigs.fasta	AG-918-B06_contigs.fasta	AG-426-F11_NODE_1	4693	5214	.	ab	0.26696	6.3864
gdiff	AG-426-F11_contigs.fasta	AG-918-B06_contigs.fasta	AG-426-F11_NODE_1	4981	5502	.	ab	0.27687	4.6601
gdiff	AG-426-F11_contigs.fasta	AG-918-B06_contigs.fasta	AG-426-F11_NODE_1	5935	6456	.	ab	0.2441	11.975
gdiff	AG-426-F11_contigs.fasta	AG-918-B06_contigs.fasta	AG-426-F11_NODE_1	6155	6676	.	ab	0.26044	7.7372
gdiff	AG-426-F11_contigs.fasta	AG-918-B06_contigs.fasta	AG-426-F11_NODE_1	7116	7637	.	ab	0.21246	24.581
gdiff	AG-426-F11_contigs.fasta	AG-918-B06_contigs.fasta	AG-426-F11_NODE_1	7153	7674	.	ab	0.21246	24.581
gdiff	AG-426-F11_contigs.fasta	AG-918-B06_contigs.fasta	AG-426-F11_NODE_1	7680	8201	.	ab	0.22419	19.129
gdiff	AG-426-F11_contigs.fasta	AG-918-B06_contigs.fasta	AG-426-F11_NODE_1	8379	8900	.	ab	0.24977	10.356
gdiff	AG-426-F11_contigs.fasta	AG-918-B06_contigs.fasta	AG-426-F11_NODE_1	9184	9705	.	ab	0.2441	11.975
