# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-349-O05.gdsk selected_coord_sketches/AG-916-P21.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-349-O05_AG-916-P21.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:10 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	592	1113	.	ab	0.28174	3.9189
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	746	1267	.	ab	0.27348	5.1824
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	1829	2350	.	ab	0.28879	3.0178
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	1903	2424	.	ab	0.28879	3.0178
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	3613	4134	.	ab	0.2941	2.4372
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	3701	4222	.	ab	0.30846	1.2345
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	4022	4543	.	ab	0.27428	5.0503
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	4795	5316	.	ab	0.27672	4.6593
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	5089	5610	.	ab	0.27672	4.6593
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	6064	6585	.	ab	0.30436	1.5274
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	6288	6809	.	ab	0.35011	0
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	7271	7792	.	ab	0.27348	5.1824
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	7309	7830	.	ab	0.27348	5.1824
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	7848	8369	.	ab	0.28879	3.0178
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	8561	9082	.	ab	0.35011	0
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	9383	9904	.	ab	0.2792	4.2821
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	10847	11368	.	ab	0.30436	1.5274
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	10945	11466	.	ab	0.30436	1.5274
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	11697	12218	.	ab	0.28593	3.3642
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	12311	12832	.	ab	0.24666	11.175
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	16156	16677	.	ab	0.25643	8.6175
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	17087	17608	.	ab	0.26236	7.2864
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	18310	18831	.	ab	0.27122	5.5707
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	19170	19691	.	ab	0.27122	5.5707
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	19844	20365	.	ab	nan	nan
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	20084	20605	.	ab	0.27428	5.0503
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	20183	20704	.	ab	0.27428	5.0503
gdiff	AG-349-O05_contigs.fasta	AG-916-P21_contigs.fasta	AG-349-O05_AG-349-O05_NODE_1	22200	22721	.	ab	0.25308	9.4425
