# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-920-O11.gdsk selected_coord_sketches/AG-414-O11.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-920-O11_AG-414-O11.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:13 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-414-O11_contigs.fasta	AG-920-O11_contigs.fasta	AG-414-O11_AG-414-O11_NODE_1	646	1167	.	ab	0.27898	4.2804
gdiff	AG-414-O11_contigs.fasta	AG-920-O11_contigs.fasta	AG-414-O11_AG-414-O11_NODE_1	814	1335	.	ab	0.28856	3.0169
gdiff	AG-414-O11_contigs.fasta	AG-920-O11_contigs.fasta	AG-414-O11_AG-414-O11_NODE_1	1997	2518	.	ab	0.3215	0.53022
gdiff	AG-414-O11_contigs.fasta	AG-920-O11_contigs.fasta	AG-414-O11_AG-414-O11_NODE_1	2078	2599	.	ab	0.2915	2.6863
gdiff	AG-414-O11_contigs.fasta	AG-920-O11_contigs.fasta	AG-414-O11_AG-414-O11_NODE_1	3945	4466	.	ab	0.2857	3.3636
gdiff	AG-414-O11_contigs.fasta	AG-920-O11_contigs.fasta	AG-414-O11_AG-414-O11_NODE_1	4041	4562	.	ab	0.29718	2.1146
gdiff	AG-414-O11_contigs.fasta	AG-920-O11_contigs.fasta	AG-414-O11_AG-414-O11_NODE_1	4391	4912	.	ab	0.34991	0
gdiff	AG-414-O11_contigs.fasta	AG-920-O11_contigs.fasta	AG-414-O11_AG-414-O11_NODE_1	5236	5757	.	ab	0.27404	5.0493
gdiff	AG-414-O11_contigs.fasta	AG-920-O11_contigs.fasta	AG-414-O11_AG-414-O11_NODE_1	5557	6078	.	ab	0.3215	0.53022
gdiff	AG-414-O11_contigs.fasta	AG-920-O11_contigs.fasta	AG-414-O11_AG-414-O11_NODE_1	6622	7143	.	ab	nan	nan
