# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-349-O13.gdsk selected_coord_sketches/AH-321-K15.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-349-O13_AH-321-K15.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:06 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	19	414	.	ab	0.21483	16.316
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	418	2574	.	ab	0.3195	10.18
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	503	1024	.	ab	0.30436	1.5274
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	634	1155	.	ab	0.30436	1.5274
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	1555	2076	.	ab	nan	nan
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	1618	2139	.	ab	nan	nan
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	2597	3544	.	ab	0.20374	58.724
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	3071	3592	.	ab	0.21336	24.033
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	3146	3667	.	ab	0.17262	51.748
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	3419	3940	.	ab	0.070546	221.89
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	3855	4523	.	ab	0.25744	11.94
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	4076	4597	.	ab	0.32171	0.53038
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	4326	4847	.	ab	0.30436	1.5274
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	4480	4641	.	ab	nan	nan
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	4726	4848	.	ab	0.25041	0.44633
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	5032	6021	.	ab	0.29138	7.9852
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	5155	5676	.	ab	0.35011	0
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	5346	5867	.	ab	0.2941	2.4372
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	6028	6861	.	ab	0.32505	1.5743
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	6181	6702	.	ab	0.32171	0.53038
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	6213	6734	.	ab	0.32171	0.53038
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	6671	7192	.	ab	0.21209	24.671
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	6876	9542	.	ab	0.18536	246.28
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	7277	7798	.	ab	0.18093	44.765
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	7976	8497	.	ab	0.18766	39.65
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	9220	9741	.	ab	0.17405	50.488
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	9304	9825	.	ab	0.19501	34.579
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	9535	11607	.	ab	0.19947	148.9
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	9943	10464	.	ab	0.22495	18.735
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	10465	10986	.	ab	0.18779	39.558
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	11608	12489	.	ab	0.17046	96.658
gdiff	AG-349-O13_contigs.fasta	AH-321-K15_contigs.fasta	AG-349-O13_NODE_1	12479	13285	.	ab	0.19398	58.503
