# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-337-G04.gdsk selected_coord_sketches/AG-918-G15.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-337-G04_AG-918-G15.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:06 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-337-G04_contigs.fasta	AG-918-G15_contigs.fasta	AG-337-G04_AG-337-G04_NODE_1	709	1230	.	ab	0.22324	19.397
gdiff	AG-337-G04_contigs.fasta	AG-918-G15_contigs.fasta	AG-337-G04_AG-337-G04_NODE_1	894	1415	.	ab	0.20607	27.8
gdiff	AG-337-G04_contigs.fasta	AG-918-G15_contigs.fasta	AG-337-G04_AG-337-G04_NODE_1	2192	2713	.	ab	0.2562	8.6424
gdiff	AG-337-G04_contigs.fasta	AG-918-G15_contigs.fasta	AG-337-G04_AG-337-G04_NODE_1	2281	2802	.	ab	0.2562	8.6424
gdiff	AG-337-G04_contigs.fasta	AG-918-G15_contigs.fasta	AG-337-G04_AG-337-G04_NODE_1	4329	4850	.	ab	0.22974	16.767
gdiff	AG-337-G04_contigs.fasta	AG-918-G15_contigs.fasta	AG-337-G04_AG-337-G04_NODE_1	4434	4955	.	ab	0.26024	7.7169
gdiff	AG-337-G04_contigs.fasta	AG-918-G15_contigs.fasta	AG-337-G04_AG-337-G04_NODE_1	4819	5340	.	ab	0.25472	9
gdiff	AG-337-G04_contigs.fasta	AG-918-G15_contigs.fasta	AG-337-G04_AG-337-G04_NODE_1	5745	6266	.	ab	0.1804	45.06
gdiff	AG-337-G04_contigs.fasta	AG-918-G15_contigs.fasta	AG-337-G04_AG-337-G04_NODE_1	6098	6619	.	ab	0.2042	28.855
gdiff	AG-337-G04_contigs.fasta	AG-918-G15_contigs.fasta	AG-337-G04_AG-337-G04_NODE_1	7266	7787	.	ab	0.2362	14.421
gdiff	AG-337-G04_contigs.fasta	AG-918-G15_contigs.fasta	AG-337-G04_AG-337-G04_NODE_1	7535	8056	.	ab	0.19613	33.757
gdiff	AG-337-G04_contigs.fasta	AG-918-G15_contigs.fasta	AG-337-G04_AG-337-G04_NODE_1	8711	9232	.	ab	0.2444	11.795
