# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-899-C09.gdsk selected_coord_sketches/AG-916-M14.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-899-C09_AG-916-M14.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:10 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-899-C09_contigs.fasta	AG-916-M14_contigs.fasta	AG-899-C09_NODE_1	151	1371	.	ab	0.0010538	1269.4
gdiff	AG-899-C09_contigs.fasta	AG-916-M14_contigs.fasta	AG-899-C09_NODE_1	642	1163	.	ab	0.0015522	533.24
gdiff	AG-899-C09_contigs.fasta	AG-916-M14_contigs.fasta	AG-899-C09_NODE_1	809	1330	.	ab	0.0015804	532.96
gdiff	AG-899-C09_contigs.fasta	AG-916-M14_contigs.fasta	AG-899-C09_NODE_1	1363	1899	.	ab	0.0044273	524.79
gdiff	AG-899-C09_contigs.fasta	AG-916-M14_contigs.fasta	AG-899-C09_NODE_1	1886	2365	.	ab	4.7832e-08	560.75
gdiff	AG-899-C09_contigs.fasta	AG-916-M14_contigs.fasta	AG-899-C09_NODE_1	1984	2505	.	ab	0.0026234	523.6
gdiff	AG-899-C09_contigs.fasta	AG-916-M14_contigs.fasta	AG-899-C09_NODE_1	2065	2586	.	ab	0.006758	493.76
gdiff	AG-899-C09_contigs.fasta	AG-916-M14_contigs.fasta	AG-899-C09_NODE_1	2355	2990	.	ab	0.0077565	597.32
gdiff	AG-899-C09_contigs.fasta	AG-916-M14_contigs.fasta	AG-899-C09_NODE_1	2990	3952	.	ab	0.0054753	939.82
gdiff	AG-899-C09_contigs.fasta	AG-916-M14_contigs.fasta	AG-899-C09_NODE_1	3919	4440	.	ab	0.0078951	486.42
gdiff	AG-899-C09_contigs.fasta	AG-916-M14_contigs.fasta	AG-899-C09_NODE_1	3979	5535	.	ab	0.024158	1225.7
gdiff	AG-899-C09_contigs.fasta	AG-916-M14_contigs.fasta	AG-899-C09_NODE_1	4015	4536	.	ab	0.010299	471.61
gdiff	AG-899-C09_contigs.fasta	AG-916-M14_contigs.fasta	AG-899-C09_NODE_1	4363	4884	.	ab	0.018886	424.08
gdiff	AG-899-C09_contigs.fasta	AG-916-M14_contigs.fasta	AG-899-C09_NODE_1	5201	5722	.	ab	0.030797	367.69
