# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-426-L23.gdsk selected_coord_sketches/AG-447-K11.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-426-L23_AG-447-K11.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:08 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	529	1050	.	ab	0.23687	14.17
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	666	1187	.	ab	0.23687	14.17
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	1633	2154	.	ab	0.26422	6.8636
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	1700	2221	.	ab	0.24378	11.962
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	3226	3747	.	ab	0.29156	2.6866
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	3305	3826	.	ab	0.24944	10.349
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	3591	4112	.	ab	0.24486	11.641
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	4281	4802	.	ab	0.24165	12.616
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	4544	5065	.	ab	0.25451	9.0393
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	5415	5936	.	ab	0.23195	15.911
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	5615	6136	.	ab	0.26627	6.4549
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	6492	7013	.	ab	0.25636	8.5917
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	6526	7047	.	ab	0.25636	8.5917
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	7007	7528	.	ab	0.23474	14.906
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	7644	8165	.	ab	0.26018	7.7162
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	8379	8900	.	ab	0.27332	5.1803
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	9685	10206	.	ab	0.26219	7.284
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	9773	10294	.	ab	0.25636	8.5917
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	10445	10966	.	ab	0.32156	0.53026
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	10993	11514	.	ab	0.24378	11.962
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	14426	14947	.	ab	nan	nan
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	15257	15778	.	ab	0.22011	20.737
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	16349	16870	.	ab	0.24772	10.82
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	17117	17638	.	ab	0.22609	18.185
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	17719	18240	.	ab	0.25467	8.9985
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	17933	18454	.	ab	0.23981	13.199
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	18022	18543	.	ab	0.23981	13.199
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	19823	20344	.	ab	0.23397	15.179
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	21735	22256	.	ab	0.23275	15.618
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	22435	22956	.	ab	0.3042	1.527
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	22487	23008	.	ab	0.3042	1.527
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	22627	23148	.	ab	0.29156	2.6866
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	23167	23688	.	ab	0.28158	3.9175
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	24079	24600	.	ab	0.25117	9.888
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	24963	25484	.	ab	0.25636	8.5917
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	25730	26251	.	ab	0.23833	13.68
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	26812	27333	.	ab	0.34997	0
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	28427	28948	.	ab	0.20247	29.819
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	29059	29580	.	ab	0.24907	10.449
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	30256	30777	.	ab	0.27499	4.9057
gdiff	AG-426-L23_contigs.fasta	AG-447-K11_contigs.fasta	AG-426-L23_AG-426-L23_NODE_1	31327	31848	.	ab	0.2107	25.276
