genome	role	contig	contig_len	n_contigs	gene	gene_start	gene_end	gene_len	strand	mapped	mapped_pairs	mapped_as_query	mapped_as_reference	mapped_refs
AH-287-E09	reference	AH-287-E09_NODE_1	154528	53	AH-287-E09_00002	1711	2823	1113	+	1	1	0	1	1
AH-287-E09	reference	AH-287-E09_NODE_1	154528	53	AH-287-E09_00003	2981	3256	276	+	1	1	0	1	1
AH-287-E09	reference	AH-287-E09_NODE_1	154528	53	AH-287-E09_00008	6590	7165	576	-	1	1	0	1	1
AH-287-E09	reference	AH-287-E09_NODE_1	154528	53	AH-287-E09_00009	7158	7631	474	-	1	1	0	1	1
AH-287-E09	reference	AH-287-E09_NODE_1	154528	53	AH-287-E09_00010	7658	8221	564	+	1	1	0	1	1
AH-287-E09	reference	AH-287-E09_NODE_1	154528	53	AH-287-E09_00013	9123	9293	171	-	1	1	0	1	1
AH-287-E09	reference	AH-287-E09_NODE_1	154528	53	AH-287-E09_00015	10614	11792	1179	+	1	1	0	1	1
AH-287-E09	reference	AH-287-E09_NODE_1	154528	53	AH-287-E09_00016	11789	13009	1221	+	1	1	0	1	1
AH-287-E09	reference	AH-287-E09_NODE_1	154528	53	AH-287-E09_00017	12987	14201	1215	+	1	1	0	1	1
AH-287-E09	reference	AH-287-E09_NODE_1	154528	53	AH-287-E09_00018	14198	14758	561	+	1	1	0	1	1
AH-287-E09	reference	AH-287-E09_NODE_1	154528	53	AH-287-E09_00019	14718	15467	750	+	1	1	0	1	1
AH-287-E09	reference	AH-287-E09_NODE_1	154528	53	AH-287-E09_00020	15464	15859	396	+	1	1	0	1	1
AH-287-E09	reference	AH-287-E09_NODE_1	154528	53	AH-287-E09_00022	16799	17269	471	+	1	1	0	1	1
AH-287-E09	reference	AH-287-E09_NODE_1	154528	53	AH-287-E09_00023	17269	19128	1860	+	1	1	0	1	1
AH-287-E09	reference	AH-287-E09_NODE_1	154528	53	AH-287-E09_00025	19729	20808	1080	+	1	1	0	1	1
AH-287-E09	reference	AH-287-E09_NODE_1	154528	53	AH-287-E09_00029	23469	25253	1785	+	1	1	0	1	1
AH-287-E09	reference	AH-287-E09_NODE_1	154528	53	AH-287-E09_00031	26604	27491	888	-	1	1	0	1	1
AH-287-E09	reference	AH-287-E09_NODE_1	154528	53	AH-287-E09_00032	27501	28301	801	-	1	1	0	1	1
AH-287-E09	reference	AH-287-E09_NODE_1	154528	53	AH-287-E09_00033	28286	29044	759	-	1	1	0	1	1
AH-287-E09	reference	AH-287-E09_NODE_1	154528	53	AH-287-E09_00034	29044	29637	594	-	1	1	0	1	1
AH-287-E09	reference	AH-287-E09_NODE_1	154528	53	AH-287-E09_00035	29637	31232	1596	-	1	1	0	1	1
AH-287-E09	reference	AH-287-E09_NODE_1	154528	53	AH-287-E09_00039	34492	35949	1458	+	1	1	0	1	1
AH-287-E09	reference	AH-287-E09_NODE_1	154528	53	AH-287-E09_00051	42181	43449	1269	+	1	1	0	1	1
