# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-430-E20.gdsk selected_coord_sketches/AG-905-A10.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-430-E20_AG-905-A10.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:14 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-430-E20_contigs.fasta	AG-905-A10_contigs.fasta	AG-430-E20_AG-430-E20_NODE_1	633	1154	.	ab	0.3498	0
gdiff	AG-430-E20_contigs.fasta	AG-905-A10_contigs.fasta	AG-430-E20_AG-430-E20_NODE_1	797	1318	.	ab	0.3498	0
gdiff	AG-430-E20_contigs.fasta	AG-905-A10_contigs.fasta	AG-430-E20_AG-430-E20_NODE_1	1955	2476	.	ab	0.3498	0
gdiff	AG-430-E20_contigs.fasta	AG-905-A10_contigs.fasta	AG-430-E20_AG-430-E20_NODE_1	2034	2555	.	ab	0.3498	0
gdiff	AG-430-E20_contigs.fasta	AG-905-A10_contigs.fasta	AG-430-E20_AG-430-E20_NODE_1	3861	4382	.	ab	0.3498	0
gdiff	AG-430-E20_contigs.fasta	AG-905-A10_contigs.fasta	AG-430-E20_AG-430-E20_NODE_1	3955	4476	.	ab	0.3498	0
gdiff	AG-430-E20_contigs.fasta	AG-905-A10_contigs.fasta	AG-430-E20_AG-430-E20_NODE_1	4298	4819	.	ab	0.27884	4.2794
gdiff	AG-430-E20_contigs.fasta	AG-905-A10_contigs.fasta	AG-430-E20_AG-430-E20_NODE_1	5124	5645	.	ab	0.31231	0.97366
gdiff	AG-430-E20_contigs.fasta	AG-905-A10_contigs.fasta	AG-430-E20_AG-430-E20_NODE_1	5439	5960	.	ab	0.26608	6.4514
gdiff	AG-430-E20_contigs.fasta	AG-905-A10_contigs.fasta	AG-430-E20_AG-430-E20_NODE_1	6481	7002	.	ab	0.27313	5.1777
gdiff	AG-430-E20_contigs.fasta	AG-905-A10_contigs.fasta	AG-430-E20_AG-430-E20_NODE_1	6720	7241	.	ab	0.27313	5.1777
gdiff	AG-430-E20_contigs.fasta	AG-905-A10_contigs.fasta	AG-430-E20_AG-430-E20_NODE_1	7770	8291	.	ab	0.27086	5.5665
gdiff	AG-430-E20_contigs.fasta	AG-905-A10_contigs.fasta	AG-430-E20_AG-430-E20_NODE_1	7811	8332	.	ab	0.30402	1.5265
gdiff	AG-430-E20_contigs.fasta	AG-905-A10_contigs.fasta	AG-430-E20_AG-430-E20_NODE_1	8387	8908	.	ab	0.28139	3.9158
