# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-911-D18.gdsk selected_coord_sketches/AG-461-L09.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-911-D18_AG-461-L09.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:09 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	661	1182	.	ab	0.29157	2.6867
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	833	1354	.	ab	0.28578	3.3638
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	853	1821	.	ab	0.29182	7.5936
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	1823	2797	.	ab	0.22391	40.897
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	2043	2564	.	ab	0.22149	20.133
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	2126	2647	.	ab	0.23835	13.68
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	2787	4085	.	ab	0.23647	44.063
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	4035	4556	.	ab	0.23196	15.912
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	4066	4758	.	ab	0.25106	14.664
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	4133	4654	.	ab	0.26423	6.8638
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	4492	5013	.	ab	0.24225	12.434
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	4765	6246	.	ab	0.27057	23.961
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	5355	5876	.	ab	0.29157	2.6867
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	5684	6205	.	ab	0.30421	1.527
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	6239	6448	.	ab	nan	nan
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	6511	7467	.	ab	0.27596	11.851
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	6773	7294	.	ab	0.34998	0
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	7023	7544	.	ab	0.24487	11.642
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	7467	8027	.	ab	0.22693	19.589
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	8024	8437	.	ab	0.2897	1.7941
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	8120	8641	.	ab	0.30067	1.811
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	8163	8684	.	ab	0.28864	3.0172
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	8451	9569	.	ab	0.26349	20.081
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	8765	9286	.	ab	0.2438	11.962
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	9561	10082	.	ab	0.26423	6.8638
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	9562	9774	.	ab	0.23358	3.8556
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	9764	10870	.	ab	0.27484	14.851
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	10480	11001	.	ab	0.29157	2.6867
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	10892	12274	.	ab	0.25897	28.994
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	12114	12635	.	ab	0.24487	11.642
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	12225	12746	.	ab	0.23543	14.67
gdiff	AG-461-L09_contigs.fasta	AG-911-D18_contigs.fasta	AG-461-L09_NODE_1	12279	13424	.	ab	0.23229	41.57
