# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-390-N04.gdsk selected_coord_sketches/AG-453-B23.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-390-N04_AG-453-B23.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:14 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	78	515	.	ab	0.019718	356.22
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	518	856	.	ab	0.012577	297.36
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	714	1235	.	ab	0.0099921	483.02
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	900	1421	.	ab	0.011808	472.02
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	926	1708	.	ab	0.013576	701.93
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	1723	2871	.	ab	0.0081969	1109.3
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	2207	2728	.	ab	0.0094206	486.57
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	2296	2817	.	ab	0.0085252	492.23
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	3134	4177	.	ab	0.0078123	1011.1
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	4180	6102	.	ab	0.0091609	1847.7
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	4358	4879	.	ab	0.011664	472.88
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	4464	4985	.	ab	0.0061508	507.91
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	4851	5372	.	ab	0.0021355	538.53
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	5784	6305	.	ab	0.0026923	533.69
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	6139	6660	.	ab	0.007772	497.09
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	6196	6951	.	ab	0.0084671	721.23
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	6954	7862	.	ab	0.0038976	923.3
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	7315	7836	.	ab	0.00073789	553.69
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	7586	8107	.	ab	0.0030738	530.55
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	7871	9430	.	ab	0.0057113	1559.7
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	8770	9291	.	ab	0.005679	511.17
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	8816	9337	.	ab	0.0053807	513.26
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	9466	9987	.	ab	0.003693	525.67
gdiff	AG-390-N04_contigs.fasta	AG-453-B23_contigs.fasta	AG-390-N04_NODE_1	9487	11265	.	ab	0.0090371	1710.4
