# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-912-F16.gdsk selected_coord_sketches/AG-911-G03.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-912-F16_AG-911-G03.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:12 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	377	1447	.	ab	0.014324	903.99
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	623	1144	.	ab	0.011641	446.03
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	785	1306	.	ab	0.013201	437.46
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	1428	2252	.	ab	0.021643	634.64
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	1925	2446	.	ab	0.017177	416.68
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	2003	2524	.	ab	0.014224	431.98
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	2304	3407	.	ab	0.013668	939.7
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	3408	4280	.	ab	0.021909	670.56
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	3803	4324	.	ab	0.031775	350.11
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	3895	4416	.	ab	0.036508	331.13
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	4233	4754	.	ab	0.033988	341.1
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	4289	4474	.	ab	0.017258	137.77
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	4476	5885	.	ab	0.042291	866.22
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	5047	5568	.	ab	0.04132	312.9
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	5357	5878	.	ab	0.037832	326.01
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	5888	6796	.	ab	0.043641	543.25
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	6383	6904	.	ab	0.041078	313.79
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	6619	7140	.	ab	0.05234	274.76
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	6848	8614	.	ab	0.022234	1372
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	7653	8174	.	ab	0.012116	443.39
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	7693	8214	.	ab	0.0078915	467.8
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	8260	8781	.	ab	0.0052046	484.85
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	8620	9168	.	ab	0.0023366	532.45
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	9011	9532	.	ab	0.0089383	461.53
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	9187	10209	.	ab	0.027246	741.58
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	9877	10398	.	ab	0.020665	399.51
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	10316	11887	.	ab	0.021373	1230.5
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	11417	11938	.	ab	0.015779	423.83
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	11521	12042	.	ab	0.011572	446.41
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	11888	12922	.	ab	0.040104	646.97
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	12312	12833	.	ab	0.049545	283.99
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	12928	13776	.	ab	0.020935	659.1
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	12958	13479	.	ab	0.035761	334.05
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	13776	14294	.	ab	0.021741	392.02
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	14287	16191	.	ab	0.027377	1395.8
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	16191	17315	.	ab	0.02231	865.57
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	17005	17526	.	ab	0.02072	399.24
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	17382	18623	.	ab	0.049785	697.81
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	17985	18506	.	ab	0.063688	239.98
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	18624	19526	.	ab	0.28435	8.5815
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	19272	19793	.	ab	0.14412	81.649
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	19519	20469	.	ab	0.13884	169.78
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	20178	20699	.	ab	0.1116	130.44
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	20472	21365	.	ab	0.11921	209.59
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	20887	21408	.	ab	0.13542	93.056
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	21139	21660	.	ab	0.067016	230.53
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	21243	21764	.	ab	0.056115	262.72
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	21368	21742	.	ab	0.040585	221.96
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	21826	22677	.	ab	0.34247	0.54437
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	22679	23398	.	ab	0.29416	4.3735
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	23366	23887	.	ab	0.0998	152.71
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	23409	23663	.	ab	0.086173	82.218
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	23667	23963	.	ab	0.099492	81.978
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	24172	24693	.	ab	0.02471	380.66
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	24783	26021	.	ab	0.0051269	1171.8
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	25621	26142	.	ab	4.7832e-08	584.19
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	26084	26977	.	ab	4.7832e-08	962.17
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	26446	26967	.	ab	4.7832e-08	584.19
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	26508	27029	.	ab	4.7832e-08	584.19
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	26672	27193	.	ab	0.0052091	484.82
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	26974	28032	.	ab	0.0064562	982.82
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	27308	27829	.	ab	0.0026496	503.24
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	28029	28769	.	ab	0.079966	285.37
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	28384	28905	.	ab	0.069141	224.67
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	28769	29554	.	ab	0.011508	681.35
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	29426	29947	.	ab	4.7832e-08	584.19
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	29554	30258	.	ab	4.7832e-08	770.06
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	30248	30571	.	ab	4.7832e-08	383.37
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	30330	30851	.	ab	4.7832e-08	584.19
gdiff	AG-911-G03_contigs.fasta	AG-912-F16_contigs.fasta	AG-911-G03_NODE_1	30612	31523	.	ab	0.00034014	923.66
