genome	role	contig	contig_len	n_contigs	gene	gene_start	gene_end	gene_len	strand	mapped	mapped_pairs	mapped_as_query	mapped_as_reference	mapped_refs
AG-337-C14	query	AG-337-C14_NODE_1	128430	38	AG-337-C14_00001	67	303	237	+	1	1	1	0	1
AG-337-C14	query	AG-337-C14_NODE_1	128430	38	AG-337-C14_00002	308	529	222	+	1	1	1	0	1
AG-337-C14	query	AG-337-C14_NODE_1	128430	38	AG-337-C14_00003	526	1482	957	+	1	1	1	0	1
AG-337-C14	query	AG-337-C14_NODE_1	128430	38	AG-337-C14_00004	1502	2935	1434	+	1	1	1	0	1
AG-337-C14	query	AG-337-C14_NODE_1	128430	38	AG-337-C14_00005	2932	4119	1188	-	1	1	1	0	1
AG-337-C14	query	AG-337-C14_NODE_1	128430	38	AG-337-C14_00006	4145	4486	342	+	1	1	1	0	1
AG-337-C14	query	AG-337-C14_NODE_1	128430	38	AG-337-C14_00008	5083	7758	2676	+	1	1	1	0	1
AG-337-C14	query	AG-337-C14_NODE_1	128430	38	AG-337-C14_00030	27280	29619	2340	-	1	1	1	0	1
AG-337-C14	query	AG-337-C14_NODE_1	128430	38	AG-337-C14_00063	63530	64258	729	-	1	1	1	0	1
AG-337-C14	query	AG-337-C14_NODE_1	128430	38	AG-337-C14_00064	64321	65205	885	-	1	1	1	0	1
AG-337-C14	query	AG-337-C14_NODE_1	128430	38	AG-337-C14_00065	65254	66264	1011	-	1	1	1	0	1
AG-337-C14	query	AG-337-C14_NODE_1	128430	38	AG-337-C14_00067	67037	68212	1176	+	1	1	1	0	1
AG-337-C14	query	AG-337-C14_NODE_1	128430	38	AG-337-C14_00068	68227	68667	441	+	1	1	1	0	1
AG-337-C14	query	AG-337-C14_NODE_1	128430	38	AG-337-C14_00071	69475	70248	774	+	1	1	1	0	1
AG-337-C14	query	AG-337-C14_NODE_1	128430	38	AG-337-C14_00072	70270	70737	468	+	1	1	1	0	1
AG-337-C14	query	AG-337-C14_NODE_1	128430	38	AG-337-C14_00073	70737	71306	570	+	1	1	1	0	1
AG-337-C14	query	AG-337-C14_NODE_1	128430	38	AG-337-C14_00074	71278	71751	474	+	1	1	1	0	1
