# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-917-C11.gdsk selected_coord_sketches/AG-359-G22.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-917-C11_AG-359-G22.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:06 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	48	194	.	ab	0.23846	1.4443
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	229	1899	.	ab	0.25219	41.974
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	517	1038	.	ab	0.2525	9.4954
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	651	1172	.	ab	0.26647	6.3826
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	1598	2119	.	ab	0.26002	7.7142
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	1662	2183	.	ab	0.26002	7.7142
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	1904	2215	.	ab	0.32763	0
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	2212	3222	.	ab	0.2321	35.898
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	3155	3676	.	ab	0.21721	21.974
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	3232	3753	.	ab	0.21158	24.722
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	3241	4704	.	ab	0.20395	93.945
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	3512	4033	.	ab	0.19269	35.83
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	4187	4708	.	ab	0.2012	30.446
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	4444	4965	.	ab	0.1825	43.182
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	4730	5173	.	ab	0.15287	59.081
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	5296	5817	.	ab	0.060751	247.72
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	5492	6013	.	ab	0.10099	149.83
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	5723	6454	.	ab	0.24082	20
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	6349	6870	.	ab	0.27888	4.2797
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	6383	6904	.	ab	0.28847	3.0165
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	6520	7308	.	ab	0.31925	1.8338
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	6853	7374	.	ab	0.27639	4.6573
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	7324	7911	.	ab	0.25224	11.324
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	7476	7997	.	ab	0.18951	38.013
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	8087	8329	.	ab	nan	nan
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	8195	8716	.	ab	0.30405	1.5266
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	8326	8688	.	ab	0.30504	0.51656
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	8723	9319	.	ab	0.32281	0.7375
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	9319	9684	.	ab	0.26439	3.7599
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	9472	9993	.	ab	0.14358	82.045
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	9559	10080	.	ab	0.14176	84.346
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	10008	10865	.	ab	0.24863	20.402
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	10215	10736	.	ab	0.26405	6.861
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	10751	11272	.	ab	0.14784	76.847
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	10950	12740	.	ab	0.17246	198.43
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	12844	14619	.	ab	0.18844	151.43
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	14109	14630	.	ab	0.16644	56.984
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	14619	15080	.	ab	0.20396	24.797
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	14922	15443	.	ab	0.13874	88.274
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	15207	16400	.	ab	0.18268	108.95
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	15990	16511	.	ab	0.17706	47.538
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	16378	19602	.	ab	0.17307	362.49
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	16741	17262	.	ab	0.15882	64.586
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	17329	17850	.	ab	0.16311	60.218
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	17539	18060	.	ab	0.22222	19.721
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	17625	18146	.	ab	0.16918	54.43
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	19387	19908	.	ab	0.2009	30.624
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	19599	20261	.	ab	0.23369	20.742
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	20248	21198	.	ab	0.22943	35.311
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	21220	22164	.	ab	0.16095	120.41
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	21257	21778	.	ab	0.18479	41.438
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	21942	22463	.	ab	0.23988	13.114
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	21993	22514	.	ab	0.24585	11.298
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	22129	22650	.	ab	0.31676	0.73798
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	22166	23113	.	ab	0.2813	10.017
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	22657	23178	.	ab	0.25996	7.7263
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	23114	24304	.	ab	0.23362	42.109
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	23550	24071	.	ab	0.21179	24.612
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	24341	26515	.	ab	0.17449	235.51
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	24414	24935	.	ab	0.16012	63.238
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	25164	25685	.	ab	0.17603	48.399
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	26223	26744	.	ab	0.20718	27.04
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	26497	27249	.	ab	0.25248	15.725
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	27246	27671	.	ab	0.19862	24.932
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	27658	29493	.	ab	0.18917	154.94
gdiff	AG-359-G22_contigs.fasta	AG-917-C11_contigs.fasta	AG-359-G22_NODE_1	27802	28323	.	ab	0.19583	33.768
