# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-337-E15.gdsk selected_coord_sketches/AG-918-M15.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-337-E15_AG-918-M15.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:10 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-337-E15_contigs.fasta	AG-918-M15_contigs.fasta	AG-337-E15_NODE_1	1	1902	.	ab	0.16492	240.4
gdiff	AG-337-E15_contigs.fasta	AG-918-M15_contigs.fasta	AG-337-E15_NODE_1	537	1058	.	ab	0.17054	53.785
gdiff	AG-337-E15_contigs.fasta	AG-918-M15_contigs.fasta	AG-337-E15_NODE_1	677	1198	.	ab	0.18912	38.73
gdiff	AG-337-E15_contigs.fasta	AG-918-M15_contigs.fasta	AG-337-E15_NODE_1	1660	2181	.	ab	0.080665	196.52
gdiff	AG-337-E15_contigs.fasta	AG-918-M15_contigs.fasta	AG-337-E15_NODE_1	1728	2249	.	ab	0.07776	203.74
gdiff	AG-337-E15_contigs.fasta	AG-918-M15_contigs.fasta	AG-337-E15_NODE_1	2054	2926	.	ab	0.10293	255.74
gdiff	AG-337-E15_contigs.fasta	AG-918-M15_contigs.fasta	AG-337-E15_NODE_1	2899	4350	.	ab	0.050656	817.24
gdiff	AG-337-E15_contigs.fasta	AG-918-M15_contigs.fasta	AG-337-E15_NODE_1	3279	3800	.	ab	0.034974	339.94
gdiff	AG-337-E15_contigs.fasta	AG-918-M15_contigs.fasta	AG-337-E15_NODE_1	3359	3880	.	ab	0.030104	360.05
gdiff	AG-337-E15_contigs.fasta	AG-918-M15_contigs.fasta	AG-337-E15_NODE_1	3650	4171	.	ab	0.026014	377.94
gdiff	AG-337-E15_contigs.fasta	AG-918-M15_contigs.fasta	AG-337-E15_NODE_1	4352	4873	.	ab	0.027871	369.7
gdiff	AG-337-E15_contigs.fasta	AG-918-M15_contigs.fasta	AG-337-E15_NODE_1	4422	5699	.	ab	0.035131	857.49
gdiff	AG-337-E15_contigs.fasta	AG-918-M15_contigs.fasta	AG-337-E15_NODE_1	4619	5140	.	ab	0.030857	356.86
gdiff	AG-337-E15_contigs.fasta	AG-918-M15_contigs.fasta	AG-337-E15_NODE_1	5504	6025	.	ab	0.021618	398.3
gdiff	AG-337-E15_contigs.fasta	AG-918-M15_contigs.fasta	AG-337-E15_NODE_1	5677	6072	.	ab	0.018874	308.06
gdiff	AG-337-E15_contigs.fasta	AG-918-M15_contigs.fasta	AG-337-E15_NODE_1	5707	6228	.	ab	0.034519	341.77
gdiff	AG-337-E15_contigs.fasta	AG-918-M15_contigs.fasta	AG-337-E15_NODE_1	6197	6967	.	ab	0.062139	371.71
gdiff	AG-337-E15_contigs.fasta	AG-918-M15_contigs.fasta	AG-337-E15_NODE_1	6599	7120	.	ab	0.062003	246.83
gdiff	AG-337-E15_contigs.fasta	AG-918-M15_contigs.fasta	AG-337-E15_NODE_1	6633	7154	.	ab	0.053038	274.69
gdiff	AG-337-E15_contigs.fasta	AG-918-M15_contigs.fasta	AG-337-E15_NODE_1	7009	7743	.	ab	0.064158	345.19
gdiff	AG-337-E15_contigs.fasta	AG-918-M15_contigs.fasta	AG-337-E15_NODE_1	7122	7643	.	ab	0.067708	230.42
gdiff	AG-337-E15_contigs.fasta	AG-918-M15_contigs.fasta	AG-337-E15_NODE_1	7729	9090	.	ab	0.036707	898.72
gdiff	AG-337-E15_contigs.fasta	AG-918-M15_contigs.fasta	AG-337-E15_NODE_1	7770	8291	.	ab	0.043839	306.23
