genome	role	contig	contig_len	n_contigs	gene	gene_start	gene_end	gene_len	strand	mapped	mapped_pairs	mapped_as_query	mapped_as_reference	mapped_refs
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00005	2913	4454	1542	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00011	8839	9717	879	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00014	10181	12232	2052	+	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00021	16114	18690	2577	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00022	18696	19151	456	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00023	19242	22100	2859	+	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00033	28846	29055	210	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00034	29098	29793	696	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00042	35729	36793	1065	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00043	36864	37610	747	+	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00044	37611	38414	804	+	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00045	38439	38831	393	+	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00046	38876	39097	222	+	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00049	40927	42117	1191	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00050	42117	43835	1719	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00051	43835	46462	2628	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00067	60061	60519	459	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00069	61435	61740	306	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00070	61740	62996	1257	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00071	62996	63820	825	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00076	67985	69445	1461	+	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00078	70012	71004	993	+	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00081	72577	73977	1401	+	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00084	75874	76656	783	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00104	96989	98473	1485	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00105	98473	100386	1914	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00107	100692	101324	633	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00109	101814	102812	999	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00110	102816	104849	2034	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00112	106163	106771	609	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00114	107927	108532	606	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00115	108534	109049	516	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00119	110014	112392	2379	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00122	114455	115972	1518	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00128	117496	118176	681	+	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00135	121901	123235	1335	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00136	123232	123846	615	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00137	123914	125008	1095	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00140	127331	128098	768	+	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00183	164233	166617	2385	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00184	166639	168057	1419	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00191	171246	171878	633	+	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00193	172652	173620	969	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00198	179269	180726	1458	+	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00208	187912	189249	1338	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00210	189673	190119	447	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00213	191122	192900	1779	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00214	192999	195335	2337	+	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00218	198537	199766	1230	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00221	201765	202190	426	+	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00222	202193	203635	1443	+	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00225	205614	206831	1218	+	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_1	220082	33	AH-321-G15_00230	208182	209588	1407	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_10	28242	33	AH-321-G15_00756	573	1751	1179	-	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_10	28242	33	AH-321-G15_00759	4806	5129	324	+	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_10	28242	33	AH-321-G15_00765	8187	8861	675	+	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_10	28242	33	AH-321-G15_00766	8865	9281	417	+	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_10	28242	33	AH-321-G15_00767	9286	10095	810	+	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_10	28242	33	AH-321-G15_00769	11473	12012	540	+	1	1	0	1	1
AH-321-G15	reference	AH-321-G15_NODE_10	28242	33	AH-321-G15_00772	14129	16036	1908	+	1	1	0	1	1
