# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-894-A06.gdsk selected_coord_sketches/AG-893-K11.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-894-A06_AG-893-K11.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:15 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	719	1240	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	741	1397	.	ab	4.7832e-08	753.68
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	906	1427	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	1400	2629	.	ab	4.7832e-08	1365.6
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	2221	2742	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	2311	2832	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	2626	4128	.	ab	4.7832e-08	1657.4
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	4170	4961	.	ab	4.7832e-08	897.78
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	4387	4908	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	4494	5015	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	4884	5405	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	4954	5646	.	ab	4.7832e-08	792.1
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	5648	6352	.	ab	4.7832e-08	804.9
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	5823	6344	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	6180	6701	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	6367	6864	.	ab	4.7832e-08	584.07
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	6868	7398	.	ab	4.7832e-08	619.26
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	7364	7885	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	7473	10031	.	ab	4.7832e-08	2786.3
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	7636	8157	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	8829	9350	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	8875	9396	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	9530	10051	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	10021	10248	.	ab	4.7832e-08	296.67
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	10235	11353	.	ab	4.7832e-08	1247
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	10396	10917	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	11395	11916	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	11608	12015	.	ab	4.7832e-08	488.15
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	12026	12583	.	ab	4.7832e-08	648.06
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	12592	13590	.	ab	4.7832e-08	1118.8
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	13171	13692	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	13291	13812	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	13587	14426	.	ab	4.7832e-08	949.03
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	14204	14725	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	14466	14666	.	ab	4.7832e-08	268.03
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	14716	15009	.	ab	4.7832e-08	366.8
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	14950	15471	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	15082	17466	.	ab	4.7832e-08	2600.2
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	17469	18638	.	ab	4.7832e-08	1301.5
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	18635	19063	.	ab	4.7832e-08	510.52
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	19067	20326	.	ab	4.7832e-08	1397.7
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	19619	20140	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	20398	23151	.	ab	4.7832e-08	2994.8
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	20749	21270	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	22234	22755	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	23179	23658	.	ab	4.7832e-08	564.88
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	23279	23800	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	23645	25045	.	ab	4.7832e-08	1548.3
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	24097	24618	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	24388	24909	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	24509	25030	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	25032	26060	.	ab	4.7832e-08	1150.9
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	26066	27025	.	ab	4.7832e-08	1077.2
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	26958	27479	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	27113	28303	.	ab	4.7832e-08	1323.9
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	28305	29066	.	ab	4.7832e-08	865.75
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	29171	30112	.	ab	4.7832e-08	1058
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	29559	30080	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	30253	31260	.	ab	4.7832e-08	1128.4
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	30511	31032	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	30582	31103	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	30771	31292	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	31268	32662	.	ab	4.7832e-08	1541.9
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	31506	32027	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	32666	33526	.	ab	4.7832e-08	971.45
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	32747	33268	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	33639	34418	.	ab	4.7832e-08	884.97
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	33949	34470	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	34425	34874	.	ab	4.7832e-08	532.9
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	34878	35501	.	ab	4.7832e-08	718.46
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	34991	35512	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	35503	35985	.	ab	4.7832e-08	568.08
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	35957	36652	.	ab	4.7832e-08	795.3
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	36464	36985	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	36644	38068	.	ab	4.7832e-08	1574
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	38116	39540	.	ab	0.00051163	1509.2
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	38659	39180	.	ab	0.0012994	540.27
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	39519	40040	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	39544	40095	.	ab	4.7832e-08	641.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	40104	40811	.	ab	4.7832e-08	808.11
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	40852	41541	.	ab	4.7832e-08	788.9
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	41148	41669	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	41541	41768	.	ab	4.7832e-08	296.67
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	41772	42644	.	ab	4.7832e-08	984.26
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	42603	43124	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	42728	45538	.	ab	4.7832e-08	3055.8
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	42843	43364	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	44979	45500	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	45303	45824	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	45535	45792	.	ab	4.7832e-08	328.53
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	45555	46076	.	ab	4.7832e-08	609.66
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	45835	46536	.	ab	4.7832e-08	801.7
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	46533	47267	.	ab	0.016017	631.07
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	47284	47964	.	ab	0.27278	8.4127
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	47566	48087	.	ab	0.3058	1.5313
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	48009	48737	.	ab	0.29863	4.0457
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	48620	49141	.	ab	0.3058	1.5313
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	48734	50071	.	ab	0.34357	1.8555
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	49109	49630	.	ab	0.31851	0.73793
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	50068	50385	.	ab	0.28263	1.4651
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	50382	51677	.	ab	0.30813	7.3545
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	51315	51836	.	ab	0.32311	0.53149
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	51435	51956	.	ab	nan	nan
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	51650	52171	.	ab	0.35143	0
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	51751	52443	.	ab	0.29633	4.03
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	52440	53351	.	ab	0.37381	0
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	53368	53685	.	ab	nan	nan
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	53747	54916	.	ab	0.0026154	1198.7
gdiff	AG-893-K11_contigs.fasta	AG-894-A06_contigs.fasta	AG-893-K11_NODE_1	54916	55158	.	ab	4.7832e-08	312.59
