# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-390-L03.gdsk selected_coord_sketches/AG-422-B23.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-390-L03_AG-422-B23.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:05 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-390-L03_contigs.fasta	AG-422-B23_contigs.fasta	AG-390-L03_AG-390-L03_NODE_1	722	1243	.	ab	0.32127	0.53003
gdiff	AG-390-L03_contigs.fasta	AG-422-B23_contigs.fasta	AG-390-L03_AG-390-L03_NODE_1	910	1431	.	ab	0.30035	1.8105
gdiff	AG-390-L03_contigs.fasta	AG-422-B23_contigs.fasta	AG-390-L03_AG-390-L03_NODE_1	2232	2753	.	ab	nan	nan
gdiff	AG-390-L03_contigs.fasta	AG-422-B23_contigs.fasta	AG-390-L03_AG-390-L03_NODE_1	2322	2843	.	ab	nan	nan
gdiff	AG-390-L03_contigs.fasta	AG-422-B23_contigs.fasta	AG-390-L03_AG-390-L03_NODE_1	4408	4929	.	ab	nan	nan
gdiff	AG-390-L03_contigs.fasta	AG-422-B23_contigs.fasta	AG-390-L03_AG-390-L03_NODE_1	4515	5036	.	ab	nan	nan
gdiff	AG-390-L03_contigs.fasta	AG-422-B23_contigs.fasta	AG-390-L03_AG-390-L03_NODE_1	4907	5428	.	ab	0.3497	0
gdiff	AG-390-L03_contigs.fasta	AG-422-B23_contigs.fasta	AG-390-L03_AG-390-L03_NODE_1	5850	6371	.	ab	0.27378	5.0483
gdiff	AG-390-L03_contigs.fasta	AG-422-B23_contigs.fasta	AG-390-L03_AG-390-L03_NODE_1	6209	6730	.	ab	0.28832	3.0159
gdiff	AG-390-L03_contigs.fasta	AG-422-B23_contigs.fasta	AG-390-L03_AG-390-L03_NODE_1	7399	7920	.	ab	0.3039	1.5262
gdiff	AG-390-L03_contigs.fasta	AG-422-B23_contigs.fasta	AG-390-L03_AG-390-L03_NODE_1	7672	8193	.	ab	0.24453	11.632
gdiff	AG-390-L03_contigs.fasta	AG-422-B23_contigs.fasta	AG-390-L03_AG-390-L03_NODE_1	8871	9392	.	ab	0.3039	1.5262
