# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-918-E06.gdsk selected_coord_sketches/AG-426-E17.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-918-E06_AG-426-E17.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:10 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	618	1139	.	ab	0.084965	185.03
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	779	1300	.	ab	0.07628	206.17
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	1910	2431	.	ab	0.085069	184.79
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	1987	2508	.	ab	0.11376	126.82
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	3772	4293	.	ab	0.15109	73.401
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	3864	4385	.	ab	0.16251	61.115
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	4199	4720	.	ab	0.2132	24.029
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	5006	5527	.	ab	0.21943	21.061
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	5313	5834	.	ab	0.15109	73.401
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	6331	6852	.	ab	0.067312	230.03
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	6565	7086	.	ab	0.043018	307.16
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	7590	8111	.	ab	0.027681	368.01
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	7630	8151	.	ab	0.025878	375.97
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	8193	8714	.	ab	0.046684	294.17
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	8937	9458	.	ab	0.080222	196.34
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	9796	10317	.	ab	0.050426	281.46
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	11324	11845	.	ab	0.040932	314.79
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	11427	11948	.	ab	0.028074	366.3
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	12212	12733	.	ab	0.041689	312
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	12853	13374	.	ab	0.095599	161.53
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	16867	17388	.	ab	0.19132	36.944
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	17838	18359	.	ab	0.093413	166.16
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	19115	19636	.	ab	0.070555	221.15
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	20013	20534	.	ab	0.068799	225.92
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	20717	21238	.	ab	0.048369	288.38
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	20967	21488	.	ab	0.058774	254.89
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	21070	21591	.	ab	0.056615	261.53
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	23176	23697	.	ab	0.067149	230.49
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	25412	25933	.	ab	0.018813	409.13
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	26231	26752	.	ab	0.0041053	493.13
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	26292	26813	.	ab	0.0064677	477.37
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	26455	26976	.	ab	0.01093	450.7
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	27086	27607	.	ab	0.21445	23.412
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	28153	28674	.	ab	nan	nan
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	29187	29708	.	ab	0.24947	10.349
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	30083	30604	.	ab	0.29159	2.6868
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	31348	31869	.	ab	0.1019	148.75
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	33236	33757	.	ab	nan	nan
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	33975	34496	.	ab	0.13709	90.902
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	35375	35896	.	ab	0.070484	221.34
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	36627	37148	.	ab	0.10951	134.37
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	36833	37354	.	ab	0.099678	153.17
gdiff	AG-426-E17_contigs.fasta	AG-918-E06_contigs.fasta	AG-426-E17_AG-426-E17_NODE_1	38669	39190	.	ab	0.080177	196.45
