# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-919-N08.gdsk selected_coord_sketches/AG-917-M17.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-919-N08_AG-917-M17.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:12 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	303	767	.	ab	0.080185	177.96
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	575	1096	.	ab	0.14675	80.542
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	725	1246	.	ab	0.23088	16.803
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	758	1201	.	ab	0.22931	14.043
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	1412	2722	.	ab	0.10226	401.91
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	1778	2299	.	ab	0.17302	52.565
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	1850	2371	.	ab	0.17406	51.634
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	2789	3772	.	ab	0.078737	400.35
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	3512	4033	.	ab	0.075174	214.46
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	3597	4118	.	ab	0.072807	220.79
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	3769	4908	.	ab	0.063376	560.46
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	3909	4430	.	ab	0.091124	175.53
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	4661	5182	.	ab	0.056261	269.64
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	4929	6248	.	ab	0.039905	856.07
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	4947	5468	.	ab	0.087925	182.85
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	5894	6415	.	ab	0.016491	432.77
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	6112	6633	.	ab	0.023809	396.15
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	6248	7324	.	ab	0.05175	605.69
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	7067	7588	.	ab	0.086903	185.23
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	7104	7625	.	ab	0.08633	186.58
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	7317	8639	.	ab	0.095315	443.18
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	7628	8149	.	ab	0.076502	210.97
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	8321	8842	.	ab	0.21679	22.906
gdiff	AG-917-M17_contigs.fasta	AG-919-N08_contigs.fasta	AG-917-M17_NODE_1	8700	9731	.	ab	0.23453	36.055
