query	n_blocks_all	n_references_all	n_pairs_all	n_blocks_selected	n_references_selected	n_pairs_selected
AG-325-K03	15652	99	99	573	1	1
AG-337-C14	16394	100	100	787	1	1
AG-337-D17	13161	99	99	203	1	1
AG-337-G04	7259	99	99	91	1	1
AG-343-K02	8762	98	98	113	1	1
AG-349-L17	13373	99	99	498	1	1
AG-349-O13	10885	100	100	240	1	1
AG-359-E10	27333	98	98	2549	3	3
AG-359-I09	12346	99	99	234	1	1
AG-390-A23	14092	99	99	271	2	2
AG-390-C17	19998	99	99	14	1	1
AG-390-G11	18494	99	99	283	1	1
AG-390-I15	27804	98	98	112	1	1
AG-390-L03	14021	100	100	38	1	1
AG-390-M07	15934	98	98	835	1	1
AG-410-K05	14497	100	100	303	1	1
AG-414-L09	25454	100	100	1456	2	2
AG-414-O11	23558	99	99	1435	2	2
AG-422-E09	20169	99	99	567	1	1
AG-422-F15	5233	100	100	127	1	1
AG-422-G15	14377	99	99	88	1	1
AG-422-L15	4887	98	98	39	1	1
AG-422-N09	2303	99	99	790	1	1
AG-422-N14	9093	99	99	135	1	1
AG-426-E17	10496	100	100	1360	2	2
AG-426-F11	15283	96	96	866	1	1
AG-426-L23	3633	98	98	43	1	1
AG-426-O21	1332	85	85	1072	1	1
AG-430-E20	25896	97	97	215	1	1
AG-430-K19	26673	100	100	15	1	1
AG-447-K11	18612	99	99	34	1	1
AG-447-O14	20363	100	100	675	1	1
AG-453-B23	1929	99	99	1137	1	1
AG-453-K22	7820	100	100	573	1	1
AG-461-L09	17767	100	100	136	1	1
AG-470-D16	9181	99	99	117	1	1
AG-470-O10	11093	100	100	157	1	1
AG-891-A05	22288	100	100	420	1	1
AG-891-I18	23999	100	100	173	1	1
AG-891-O15	5457	99	99	467	1	1
AG-892-K05	14128	99	99	988	1	1
AG-893-E15	4645	97	97	19	1	1
AG-893-E23	6745	100	100	1265	1	1
AG-893-J08	20674	99	99	713	1	1
AG-893-K11	1368	77	77	1163	1	1
AG-893-L06	24787	99	99	718	1	1
AG-893-L07	19781	98	98	1292	1	1
AG-893-N07	19689	99	99	1043	1	1
AG-894-M23	26512	99	99	776	1	1
AG-895-F17	21770	100	100	190	1	1
AG-896-D15	15339	99	99	661	1	1
AG-896-G07	19855	100	100	805	2	2
AG-897-G15	15080	100	100	328	1	1
AG-897-O11	18908	99	99	274	1	1
AG-898-C07	18157	99	99	168	1	1
AG-898-F23	15162	100	100	471	1	1
AG-898-G21	18543	100	100	383	1	1
AG-899-C09	5452	98	98	1181	1	1
AG-899-J02	24350	100	100	632	1	1
AG-899-N21	27439	99	99	791	2	2
AG-899-P08	1139	71	71	970	1	1
AG-900-I19	20528	100	100	1002	1	1
AG-903-C11	19263	100	100	1141	1	1
AG-903-D02	28600	98	98	1654	2	2
AG-903-K22	27104	97	97	1832	2	2
AG-904-K03	18818	97	97	1080	1	1
AG-905-A10	25740	98	98	2354	3	3
AG-905-P05	18762	100	100	270	1	1
AG-907-B04	5529	98	98	1078	1	1
AG-909-N22	4544	100	100	72	1	1
AG-910-E21	16657	99	99	713	1	1
AG-910-M23	14751	100	100	1345	2	2
AG-911-B04	24480	99	99	1415	2	2
AG-911-D18	22830	99	99	311	1	1
AG-911-G03	29032	99	99	1039	2	2
AG-911-G16	20480	100	100	1017	2	2
AG-911-I16	2656	99	99	812	1	1
AG-913-A04	27839	99	99	867	1	1
AG-913-I23	1338	81	81	1166	1	1
AG-913-M07	3740	100	100	1488	2	2
AG-913-O18	16570	99	99	135	1	1
AG-914-L03	18228	99	99	894	1	1
AG-915-E06	27541	99	99	858	1	1
AG-915-G13	16109	99	99	752	1	1
AG-915-G14	20339	98	98	471	1	1
AG-915-K13	30915	100	100	1931	2	2
AG-916-B06	18811	99	99	1087	1	1
AG-916-G03	3975	98	98	32	1	1
AG-916-P21	21340	100	100	150	1	1
AG-917-C11	27795	99	99	1201	2	2
AG-917-M17	5292	99	99	883	1	1
AG-917-P07	28298	99	99	1001	1	1
AG-918-B06	15275	99	99	1075	2	2
AG-918-E02	21228	100	100	967	1	1
AG-918-G22	21795	100	100	39	1	1
AG-918-L21	30650	98	98	1630	2	2
AG-918-M15	4476	100	100	414	1	1
AG-919-L14	14547	100	100	789	1	1
AG-920-J04	29383	99	99	134	1	1
AG-920-K11	24885	96	96	836	1	1
AG-920-O11	26997	97	97	835	1	1
