# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-470-D16.gdsk selected_coord_sketches/AG-912-I02.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-470-D16_AG-912-I02.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:05 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	444	1631	.	ab	0.32815	2.8389
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	531	1052	.	ab	nan	nan
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	669	1190	.	ab	0.35012	0
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	1640	2161	.	ab	0.23214	15.921
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	1667	3397	.	ab	0.24428	52.171
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	1706	2227	.	ab	0.23214	15.921
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	3238	3759	.	ab	0.27429	5.0504
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	3317	3838	.	ab	0.2584	8.1622
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	3459	4613	.	ab	0.23382	40.814
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	3604	4125	.	ab	0.22286	19.628
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	4297	4818	.	ab	0.23774	13.949
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	4561	5082	.	ab	0.24397	11.969
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	4651	5043	.	ab	0.23899	9.0657
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	5067	5807	.	ab	0.26532	11.17
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	5435	5956	.	ab	0.28176	3.9191
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	5636	6157	.	ab	0.25654	8.5953
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	5808	7007	.	ab	0.29121	10.584
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	6516	7037	.	ab	0.35012	0
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	6550	7071	.	ab	0.31708	0.73797
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	7015	8202	.	ab	0.2728	17.246
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	7033	7554	.	ab	0.26901	5.9718
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	7673	8194	.	ab	0.27124	5.5708
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	8204	9073	.	ab	0.23407	29.032
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	8410	8931	.	ab	0.25135	9.8927
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	9070	10095	.	ab	0.24768	26.261
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	9721	10242	.	ab	0.23025	16.629
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	9810	10331	.	ab	0.24088	12.922
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	10101	11012	.	ab	0.34546	0.54614
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	10483	11004	.	ab	nan	nan
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	11009	11842	.	ab	0.2616	14.459
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	11034	11555	.	ab	0.30447	1.5201
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	11842	12498	.	ab	0.27179	7.8312
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	12509	13339	.	ab	0.21786	38.481
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	13341	14588	.	ab	0.21151	69.173
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	14480	15001	.	ab	0.23484	14.946
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	14590	15513	.	ab	0.24617	23.903
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	15314	15835	.	ab	0.35012	0
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	15516	17063	.	ab	0.26837	26.762
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	16410	16931	.	ab	0.27124	5.5708
gdiff	AG-470-D16_contigs.fasta	AG-912-I02_contigs.fasta	AG-470-D16_NODE_1	17072	18064	.	ab	0.25703	20.285
