# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-422-E09.gdsk selected_coord_sketches/AH-287-E09.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-422-E09_AH-287-E09.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:07 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-422-E09_contigs.fasta	AH-287-E09_contigs.fasta	AG-422-E09_NODE_1	98	751	.	ab	0.25773	11.462
gdiff	AG-422-E09_contigs.fasta	AH-287-E09_contigs.fasta	AG-422-E09_NODE_1	612	1133	.	ab	0.19898	31.993
gdiff	AG-422-E09_contigs.fasta	AH-287-E09_contigs.fasta	AG-422-E09_NODE_1	753	1817	.	ab	0.13146	213.37
gdiff	AG-422-E09_contigs.fasta	AH-287-E09_contigs.fasta	AG-422-E09_NODE_1	771	1292	.	ab	0.19633	33.666
gdiff	AG-422-E09_contigs.fasta	AH-287-E09_contigs.fasta	AG-422-E09_NODE_1	1804	2655	.	ab	0.14499	138.25
gdiff	AG-422-E09_contigs.fasta	AH-287-E09_contigs.fasta	AG-422-E09_NODE_1	1891	2412	.	ab	0.13824	89.478
gdiff	AG-422-E09_contigs.fasta	AH-287-E09_contigs.fasta	AG-422-E09_NODE_1	1967	2488	.	ab	0.14293	83.371
gdiff	AG-422-E09_contigs.fasta	AH-287-E09_contigs.fasta	AG-422-E09_NODE_1	2655	4115	.	ab	0.095907	476.01
gdiff	AG-422-E09_contigs.fasta	AH-287-E09_contigs.fasta	AG-422-E09_NODE_1	3735	4256	.	ab	0.095757	161.43
gdiff	AG-422-E09_contigs.fasta	AH-287-E09_contigs.fasta	AG-422-E09_NODE_1	3825	4346	.	ab	0.094114	164.9
gdiff	AG-422-E09_contigs.fasta	AH-287-E09_contigs.fasta	AG-422-E09_NODE_1	4155	4652	.	ab	0.13637	87.315
gdiff	AG-422-E09_contigs.fasta	AH-287-E09_contigs.fasta	AG-422-E09_NODE_1	4157	4678	.	ab	0.12039	115.84
gdiff	AG-422-E09_contigs.fasta	AH-287-E09_contigs.fasta	AG-422-E09_NODE_1	4642	5232	.	ab	0.075989	236.56
gdiff	AG-422-E09_contigs.fasta	AH-287-E09_contigs.fasta	AG-422-E09_NODE_1	4956	5477	.	ab	0.03394	342.31
gdiff	AG-422-E09_contigs.fasta	AH-287-E09_contigs.fasta	AG-422-E09_NODE_1	5237	5464	.	ab	0.022256	162.16
gdiff	AG-422-E09_contigs.fasta	AH-287-E09_contigs.fasta	AG-422-E09_NODE_1	5260	5781	.	ab	0.037164	329.56
gdiff	AG-422-E09_contigs.fasta	AH-287-E09_contigs.fasta	AG-422-E09_NODE_1	5482	6216	.	ab	0.071855	313.2
gdiff	AG-422-E09_contigs.fasta	AH-287-E09_contigs.fasta	AG-422-E09_NODE_1	6226	6501	.	ab	0.084019	92.852
gdiff	AG-422-E09_contigs.fasta	AH-287-E09_contigs.fasta	AG-422-E09_NODE_1	6268	6789	.	ab	0.069013	225.67
gdiff	AG-422-E09_contigs.fasta	AH-287-E09_contigs.fasta	AG-422-E09_NODE_1	6500	7021	.	ab	0.045667	298.17
