# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-920-K11.gdsk selected_coord_sketches/AG-911-B04.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-920-K11_AG-911-B04.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:13 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-911-B04_contigs.fasta	AG-920-K11_contigs.fasta	AG-911-B04_NODE_1	163	1617	.	ab	0.023146	1114.6
gdiff	AG-911-B04_contigs.fasta	AG-920-K11_contigs.fasta	AG-911-B04_NODE_1	490	1011	.	ab	0.018019	412.53
gdiff	AG-911-B04_contigs.fasta	AG-920-K11_contigs.fasta	AG-911-B04_NODE_1	617	1138	.	ab	0.017855	413.35
gdiff	AG-911-B04_contigs.fasta	AG-920-K11_contigs.fasta	AG-911-B04_NODE_1	1513	2034	.	ab	0.031966	349.39
gdiff	AG-911-B04_contigs.fasta	AG-920-K11_contigs.fasta	AG-911-B04_NODE_1	1574	2095	.	ab	0.036634	330.7
gdiff	AG-911-B04_contigs.fasta	AG-920-K11_contigs.fasta	AG-911-B04_NODE_1	1797	3734	.	ab	0.036372	1281.8
gdiff	AG-911-B04_contigs.fasta	AG-920-K11_contigs.fasta	AG-911-B04_NODE_1	2988	3509	.	ab	0.040297	316.75
gdiff	AG-911-B04_contigs.fasta	AG-920-K11_contigs.fasta	AG-911-B04_NODE_1	3061	3582	.	ab	0.028533	363.85
gdiff	AG-911-B04_contigs.fasta	AG-920-K11_contigs.fasta	AG-911-B04_NODE_1	3326	3847	.	ab	0.025221	378.43
gdiff	AG-911-B04_contigs.fasta	AG-920-K11_contigs.fasta	AG-911-B04_NODE_1	3725	4756	.	ab	0.041088	637.87
gdiff	AG-911-B04_contigs.fasta	AG-920-K11_contigs.fasta	AG-911-B04_NODE_1	3965	4486	.	ab	0.036549	331.03
gdiff	AG-911-B04_contigs.fasta	AG-920-K11_contigs.fasta	AG-911-B04_NODE_1	4209	4730	.	ab	0.049772	283.29
gdiff	AG-911-B04_contigs.fasta	AG-920-K11_contigs.fasta	AG-911-B04_NODE_1	4768	5892	.	ab	0.10112	338.92
