genome	role	contig	contig_len	n_contigs	gene	gene_start	gene_end	gene_len	strand	mapped	mapped_pairs	mapped_as_query	mapped_as_reference	mapped_refs
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00001	26	2218	2193	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00002	2218	2448	231	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00003	2450	2788	339	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00004	2789	3406	618	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00005	3447	4160	714	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00006	4160	5023	864	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00007	5026	6627	1602	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00008	6624	7979	1356	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00010	8801	10180	1380	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00014	13457	14959	1503	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00015	14959	15855	897	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00016	15855	16979	1125	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00021	19268	21208	1941	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00023	22817	23947	1131	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00025	24976	25968	993	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00026	25991	26527	537	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00027	26571	27776	1206	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00028	27786	28661	876	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00029	28667	29272	606	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00030	29273	29476	204	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00032	30411	30701	291	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00035	32512	33066	555	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00036	33066	34148	1083	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00037	34145	35035	891	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00038	35032	35973	942	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00039	36006	36395	390	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00040	36385	37179	795	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00041	37176	37838	663	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00043	38590	39441	852	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00058	51568	52680	1113	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00060	54253	55194	942	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00061	55279	56076	798	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00062	56077	58002	1926	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00063	58019	59023	1005	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00064	59012	59209	198	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00065	59313	60272	960	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00066	60269	61120	852	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00071	64660	65922	1263	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00072	65922	67115	1194	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00073	67105	68364	1260	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00074	68411	69742	1332	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00075	69892	70947	1056	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00087	80910	81488	579	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00088	81488	82489	1002	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00093	84142	84492	351	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00096	86091	86468	378	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00104	90289	90876	588	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00106	91594	94284	2691	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00107	94259	95170	912	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00108	95163	96335	1173	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00109	96342	97184	843	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00111	97946	98815	870	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00112	98812	100128	1317	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00113	100130	100699	570	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00114	100756	101811	1056	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00115	101892	102860	969	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00116	102862	104646	1785	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00117	104693	106198	1506	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00118	106211	107077	867	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00119	107089	107946	858	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00122	109191	109634	444	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00128	114370	115398	1029	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00130	116410	117414	1005	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00131	117416	118036	621	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00134	118956	120575	1620	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00135	120599	121552	954	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00136	121552	122301	750	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00137	122301	124733	2433	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00186	171349	172677	1329	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00187	172745	174214	1470	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00188	174245	175189	945	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00189	175177	176031	855	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00190	176031	177443	1413	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00191	177455	177871	417	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00192	177997	179397	1401	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00193	179411	179641	231	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00200	186688	187107	420	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00201	187107	188162	1056	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00203	188596	189894	1299	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00204	189887	190531	645	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00205	190534	193203	2670	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00206	193205	193798	594	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00207	193801	194142	342	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00208	194170	195360	1191	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00209	195357	196790	1434	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00210	196811	197770	960	-	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00211	197824	198552	729	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00212	198549	199199	651	+	1	1	0	1	1
AH-287-B07	reference	AH-287-B07_NODE_1	213346	31	AH-287-B07_00213	199192	201414	2223	-	1	1	0	1	1
