# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AH-287-E08.gdsk selected_coord_sketches/AG-410-K05.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AH-287-E08_AG-410-K05.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:10 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	42	1142	.	ab	0.30091	6.9154
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	580	1101	.	ab	0.27344	5.1818
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	730	1251	.	ab	0.32167	0.53035
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	1177	1788	.	ab	0.31147	1.5448
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	1791	2312	.	ab	nan	nan
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	1864	2385	.	ab	nan	nan
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	1878	3146	.	ab	0.34266	1.6067
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	3208	5586	.	ab	0.28367	30.926
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	3538	4059	.	ab	0.29168	2.6873
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	3624	4145	.	ab	0.30432	1.5273
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	3938	4459	.	ab	0.31703	0.73797
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	4695	5216	.	ab	0.27118	5.5702
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	4983	5504	.	ab	0.27118	5.5702
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	5938	6459	.	ab	nan	nan
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	6073	6441	.	ab	nan	nan
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	6158	6679	.	ab	nan	nan
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	6451	6966	.	ab	0.17511	48.862
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	6968	7573	.	ab	0.1458	94.278
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	7119	7640	.	ab	0.11841	119.18
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	7157	7678	.	ab	0.12463	109.2
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	7557	8069	.	ab	0.15597	66.758
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	7684	8205	.	ab	0.18907	38.599
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	8008	8733	.	ab	0.17047	77.886
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	8383	8904	.	ab	0.17452	50.033
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	8730	9338	.	ab	0.16756	67.125
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	9188	9709	.	ab	0.18684	40.211
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	9331	10659	.	ab	0.13757	247.14
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	10621	11142	.	ab	0.16009	63.709
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	10652	12685	.	ab	0.16357	262.21
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	10718	11239	.	ab	0.16937	54.629
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	11454	11975	.	ab	0.15386	70.414
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	12055	12576	.	ab	0.15509	69.047
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	12689	13687	.	ab	0.16403	122.61
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	13687	14172	.	ab	0.15452	64.254
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	14176	14808	.	ab	0.19373	44.431
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	14801	15112	.	ab	0.21916	10.61
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	15114	17027	.	ab	0.18275	181.36
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	15820	16341	.	ab	0.15934	64.489
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	16731	17252	.	ab	0.17256	51.745
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	17027	18511	.	ab	0.22249	68.009
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	17929	18450	.	ab	0.1786	46.6
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	18511	19932	.	ab	0.20825	84.747
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	18771	19292	.	ab	0.17056	53.539
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	19431	19952	.	ab	0.27916	4.2818
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	19666	20187	.	ab	0.24786	10.823
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	19763	20284	.	ab	0.23124	16.231
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	19929	20462	.	ab	0.21696	22.905
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	20478	21224	.	ab	0.23895	21.575
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	21224	22882	.	ab	0.17556	175.3
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	21738	22259	.	ab	0.13238	97.65
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	22882	23127	.	ab	0.17561	19.409
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	23129	24463	.	ab	0.17099	149.8
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	23835	24356	.	ab	0.17213	52.126
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	24460	25692	.	ab	0.2336	44.158
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	24603	25124	.	ab	0.23124	16.231
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	24660	25181	.	ab	0.23627	14.424
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	24813	25334	.	ab	0.24616	11.304
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	25405	25926	.	ab	0.24082	12.92
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	25685	26362	.	ab	0.19912	43.538
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	26355	29768	.	ab	0.18948	297.16
gdiff	AG-410-K05_contigs.fasta	AH-287-E08_contigs.fasta	AG-410-K05_NODE_1	26406	26927	.	ab	0.2266	18.039
