# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-918-P10.gdsk selected_coord_sketches/AG-918-B06.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-918-P10_AG-918-B06.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:10 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	95	1084	.	ab	0.28042	11.069
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	610	1131	.	ab	0.23866	13.695
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	769	1290	.	ab	0.24682	11.18
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	1126	1362	.	ab	0.24948	2.8226
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	1359	2417	.	ab	0.2962	7.6302
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	1885	2406	.	ab	0.26251	7.2886
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	1962	2483	.	ab	0.26251	7.2886
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	2424	3272	.	ab	0.36987	0
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	3277	3567	.	ab	0.32493	0
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	3564	4649	.	ab	0.29317	8.6972
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	3724	4245	.	ab	0.27138	5.5724
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	3814	4335	.	ab	0.28894	3.0184
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	4145	4666	.	ab	0.22911	17.135
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	4652	5350	.	ab	0.10026	209.41
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	4941	5462	.	ab	0.1256	108.21
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	5245	5766	.	ab	0.16984	54.459
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	5352	6263	.	ab	0.14932	140.16
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	6250	6771	.	ab	0.07552	209.57
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	6318	7391	.	ab	0.10825	296.71
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	6481	7002	.	ab	0.1303	101.13
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	7392	7508	.	ab	0.084315	32.638
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	7493	8014	.	ab	0.13204	98.602
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	7509	7925	.	ab	0.11941	92.089
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	7532	8053	.	ab	0.13233	98.181
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	7936	9933	.	ab	0.1592	276.39
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	8087	8608	.	ab	0.16881	55.42
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	8823	9344	.	ab	0.12737	105.49
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	9670	10191	.	ab	0.10828	137.57
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	9930	10556	.	ab	0.11307	157.25
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	10677	10943	.	ab	0.058911	123.57
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	10940	12751	.	ab	0.038627	1176.8
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	11178	11699	.	ab	0.025612	380
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	11280	11801	.	ab	0.029156	364.35
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	12055	12576	.	ab	0.057988	259.13
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	12687	13208	.	ab	0.1487	76.718
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	12802	13152	.	ab	0.15889	41.125
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	13196	13855	.	ab	0.13916	114.93
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	13857	15485	.	ab	0.18402	150.39
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	15482	17026	.	ab	0.19118	125.96
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	16650	17171	.	ab	0.19328	35.866
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	17030	17368	.	ab	0.16	38.713
gdiff	AG-918-B06_contigs.fasta	AG-918-P10_contigs.fasta	AG-918-B06_NODE_1	17609	18130	.	ab	0.21469	23.47
