# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-920-O11.gdsk selected_coord_sketches/AG-912-F16.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-920-O11_AG-912-F16.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:10 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	612	1133	.	ab	0.024903	379.35
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	772	1293	.	ab	0.012135	442.77
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	910	4326	.	ab	0.032199	2383.1
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	1893	2414	.	ab	0.059304	252.65
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	1969	2490	.	ab	0.051417	277.47
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	3738	4259	.	ab	0.029061	361.1
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	3829	4350	.	ab	0.027236	368.99
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	4161	4682	.	ab	0.0080992	465.99
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	4319	4996	.	ab	0.0072969	616.21
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	4961	5482	.	ab	0.011839	444.4
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	4989	6221	.	ab	0.014162	1044.3
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	5265	5786	.	ab	0.0055502	481.99
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	6224	7552	.	ab	0.017854	1079.4
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	6274	6795	.	ab	0.017687	413.63
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	6506	7027	.	ab	0.021915	393.12
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	7522	8043	.	ab	0.031674	350.13
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	7554	7799	.	ab	0.013139	197.52
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	7561	8082	.	ab	0.028366	364.09
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	7799	9457	.	ab	0.0079324	1519.8
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	8119	8640	.	ab	0.0018894	509.03
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	8857	9378	.	ab	0.0052872	483.72
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	9459	10205	.	ab	0.0057183	694.4
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	9708	10229	.	ab	0.0060197	478.94
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	10205	10750	.	ab	0.015635	444.38
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	10750	12168	.	ab	0.0053975	1338.2
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	11221	11742	.	ab	0.002998	499.92
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	11324	11845	.	ab	0.0032392	498.09
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	12101	12622	.	ab	0.0092058	459.41
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	12170	13651	.	ab	0.0029934	1441.3
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	12736	13257	.	ab	4.7832e-08	583.57
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	13651	15564	.	ab	0.0056619	1804.8
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	15567	15878	.	ab	0.0027133	296.1
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	15871	16503	.	ab	0.012041	541.16
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	16506	16958	.	ab	0.0031521	431.34
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	16714	17235	.	ab	0.0052139	484.21
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	16994	17992	.	ab	0.0034331	961.71
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	17677	18198	.	ab	0.012098	442.97
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	17993	20023	.	ab	0.0081377	1860
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	18942	19463	.	ab	0.0046033	488.33
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	19832	20353	.	ab	0.011591	445.78
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	20016	21347	.	ab	0.014894	1120
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	20529	21050	.	ab	0.0093401	458.62
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	20777	21298	.	ab	0.019455	404.89
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	20880	21401	.	ab	0.020204	401.26
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	21340	21948	.	ab	0.0095847	536.11
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	21945	23120	.	ab	0.023499	892.26
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	22967	23488	.	ab	0.015028	427.24
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	23104	23709	.	ab	0.020006	469.82
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	23712	24227	.	ab	0.012363	436.25
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	24240	24680	.	ab	0.021112	332.59
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	25013	25132	.	ab	0.038209	62.515
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	25150	27528	.	ab	0.010322	2126.3
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	25183	25704	.	ab	0.02409	383.04
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	25994	26515	.	ab	0.0018894	509.03
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	26054	26575	.	ab	0.0045212	488.9
gdiff	AG-912-F16_contigs.fasta	AG-920-O11_contigs.fasta	AG-912-F16_NODE_1	26216	26737	.	ab	0.0049618	485.9
