genome	role	contig	contig_len	n_contigs	gene	gene_start	gene_end	gene_len	strand	mapped	mapped_pairs	mapped_as_query	mapped_as_reference	mapped_refs
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00001	103	933	831	+	0	0	0	0	0
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00002	939	1235	297	+	0	0	0	0	0
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00003	1235	1630	396	+	1	1	1	0	1
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00004	1614	2273	660	+	1	1	1	0	1
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00005	2276	2683	408	+	0	0	0	0	0
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00006	2683	2871	189	+	0	0	0	0	0
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00007	2864	3097	234	+	0	0	0	0	0
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00008	3097	3465	369	+	0	0	0	0	0
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00009	3480	3704	225	+	0	0	0	0	0
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00010	3704	4258	555	+	0	0	0	0	0
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00011	4258	4563	306	+	0	0	0	0	0
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00012	4574	4969	396	+	0	0	0	0	0
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00013	4969	5508	540	+	1	1	1	0	1
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00014	5508	5861	354	+	1	1	1	0	1
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00015	5864	6364	501	+	1	1	1	0	1
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00016	6364	6822	459	+	0	0	0	0	0
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00017	6824	8104	1281	+	1	1	1	0	1
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00018	8110	8673	564	+	0	0	0	0	0
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00019	8729	9112	384	+	0	0	0	0	0
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00020	9114	9557	444	+	0	0	0	0	0
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00021	9558	10586	1029	+	1	1	1	0	1
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00022	10586	11032	447	+	0	0	0	0	0
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00023	11045	11950	906	+	0	0	0	0	0
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00024	11940	12572	633	-	0	0	0	0	0
AG-325-K03	query	AG-325-K03_NODE_1	104796	47	AG-325-K03_00025	12633	14006	1374	+	1	1	1	0	1
