# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-390-G11.gdsk selected_coord_sketches/AG-891-A05.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-390-G11_AG-891-A05.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:10 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-390-G11_contigs.fasta	AG-891-A05_contigs.fasta	AG-390-G11_NODE_1	675	1196	.	ab	0.17425	50.345
gdiff	AG-390-G11_contigs.fasta	AG-891-A05_contigs.fasta	AG-390-G11_NODE_1	850	1371	.	ab	0.1753	49.438
gdiff	AG-390-G11_contigs.fasta	AG-891-A05_contigs.fasta	AG-390-G11_NODE_1	2085	2606	.	ab	0.14403	82.178
gdiff	AG-390-G11_contigs.fasta	AG-891-A05_contigs.fasta	AG-390-G11_NODE_1	2170	2691	.	ab	0.14754	77.86
gdiff	AG-390-G11_contigs.fasta	AG-891-A05_contigs.fasta	AG-390-G11_NODE_1	4118	4639	.	ab	0.19004	37.98
gdiff	AG-390-G11_contigs.fasta	AG-891-A05_contigs.fasta	AG-390-G11_NODE_1	4218	4739	.	ab	0.16705	56.892
gdiff	AG-390-G11_contigs.fasta	AG-891-A05_contigs.fasta	AG-390-G11_NODE_1	4584	5105	.	ab	0.16003	63.874
gdiff	AG-390-G11_contigs.fasta	AG-891-A05_contigs.fasta	AG-390-G11_NODE_1	5465	5986	.	ab	0.20519	28.394
gdiff	AG-390-G11_contigs.fasta	AG-891-A05_contigs.fasta	AG-390-G11_NODE_1	5801	6322	.	ab	0.19643	33.679
gdiff	AG-390-G11_contigs.fasta	AG-891-A05_contigs.fasta	AG-390-G11_NODE_1	6912	7433	.	ab	0.18963	38.265
gdiff	AG-390-G11_contigs.fasta	AG-891-A05_contigs.fasta	AG-390-G11_NODE_1	7168	7689	.	ab	0.18946	38.383
gdiff	AG-390-G11_contigs.fasta	AG-891-A05_contigs.fasta	AG-390-G11_NODE_1	8287	8808	.	ab	0.24	13.208
