# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-903-D02.gdsk selected_coord_sketches/AG-905-A10.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-903-D02_AG-905-A10.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:14 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-903-D02_contigs.fasta	AG-905-A10_contigs.fasta	AG-903-D02_NODE_1	613	1134	.	ab	0.01749	413.17
gdiff	AG-903-D02_contigs.fasta	AG-905-A10_contigs.fasta	AG-903-D02_NODE_1	773	1294	.	ab	0.005271	482.1
gdiff	AG-903-D02_contigs.fasta	AG-905-A10_contigs.fasta	AG-903-D02_NODE_1	1895	2416	.	ab	0.0041289	489.87
gdiff	AG-903-D02_contigs.fasta	AG-905-A10_contigs.fasta	AG-903-D02_NODE_1	1972	2493	.	ab	0.0033116	495.76
gdiff	AG-903-D02_contigs.fasta	AG-905-A10_contigs.fasta	AG-903-D02_NODE_1	3743	4264	.	ab	4.7832e-08	581.7
gdiff	AG-903-D02_contigs.fasta	AG-905-A10_contigs.fasta	AG-903-D02_NODE_1	3834	4355	.	ab	4.7832e-08	581.7
gdiff	AG-903-D02_contigs.fasta	AG-905-A10_contigs.fasta	AG-903-D02_NODE_1	4166	4687	.	ab	4.7832e-08	581.7
gdiff	AG-903-D02_contigs.fasta	AG-905-A10_contigs.fasta	AG-903-D02_NODE_1	4967	5488	.	ab	0.0091681	458
gdiff	AG-903-D02_contigs.fasta	AG-905-A10_contigs.fasta	AG-903-D02_NODE_1	5272	5793	.	ab	0.012753	437.83
gdiff	AG-903-D02_contigs.fasta	AG-905-A10_contigs.fasta	AG-903-D02_NODE_1	6282	6803	.	ab	0.00335	495.48
gdiff	AG-903-D02_contigs.fasta	AG-905-A10_contigs.fasta	AG-903-D02_NODE_1	6514	7035	.	ab	0.0040843	490.18
gdiff	AG-903-D02_contigs.fasta	AG-905-A10_contigs.fasta	AG-903-D02_NODE_1	7532	8053	.	ab	0.009785	454.41
gdiff	AG-903-D02_contigs.fasta	AG-905-A10_contigs.fasta	AG-903-D02_NODE_1	7571	8092	.	ab	0.010586	449.84
