# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-337-D17.gdsk selected_coord_sketches/AG-447-C06.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-337-D17_AG-447-C06.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:06 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-337-D17_contigs.fasta	AG-447-C06_contigs.fasta	AG-337-D17_NODE_1	125	787	.	ab	0.23972	18.196
gdiff	AG-337-D17_contigs.fasta	AG-447-C06_contigs.fasta	AG-337-D17_NODE_1	564	1085	.	ab	0.23551	14.673
gdiff	AG-337-D17_contigs.fasta	AG-447-C06_contigs.fasta	AG-337-D17_NODE_1	710	1231	.	ab	0.22355	19.281
gdiff	AG-337-D17_contigs.fasta	AG-447-C06_contigs.fasta	AG-337-D17_NODE_1	788	2572	.	ab	0.1848	162.71
gdiff	AG-337-D17_contigs.fasta	AG-447-C06_contigs.fasta	AG-337-D17_NODE_1	1741	2262	.	ab	0.19467	34.735
gdiff	AG-337-D17_contigs.fasta	AG-447-C06_contigs.fasta	AG-337-D17_NODE_1	1812	2333	.	ab	0.19467	34.735
gdiff	AG-337-D17_contigs.fasta	AG-447-C06_contigs.fasta	AG-337-D17_NODE_1	2573	3397	.	ab	0.21606	39.455
gdiff	AG-337-D17_contigs.fasta	AG-447-C06_contigs.fasta	AG-337-D17_NODE_1	3439	3960	.	ab	0.19792	32.646
gdiff	AG-337-D17_contigs.fasta	AG-447-C06_contigs.fasta	AG-337-D17_NODE_1	3511	3870	.	ab	0.22049	12.581
gdiff	AG-337-D17_contigs.fasta	AG-447-C06_contigs.fasta	AG-337-D17_NODE_1	3523	4044	.	ab	0.23325	15.475
gdiff	AG-337-D17_contigs.fasta	AG-447-C06_contigs.fasta	AG-337-D17_NODE_1	3828	4349	.	ab	0.1311	99.401
gdiff	AG-337-D17_contigs.fasta	AG-447-C06_contigs.fasta	AG-337-D17_NODE_1	3836	4240	.	ab	0.12217	85.192
gdiff	AG-337-D17_contigs.fasta	AG-447-C06_contigs.fasta	AG-337-D17_NODE_1	4237	5574	.	ab	0.19408	102.04
gdiff	AG-337-D17_contigs.fasta	AG-447-C06_contigs.fasta	AG-337-D17_NODE_1	4564	5085	.	ab	0.19041	37.621
gdiff	AG-337-D17_contigs.fasta	AG-447-C06_contigs.fasta	AG-337-D17_NODE_1	4844	5365	.	ab	0.19366	35.402
gdiff	AG-337-D17_contigs.fasta	AG-447-C06_contigs.fasta	AG-337-D17_NODE_1	5574	6005	.	ab	0.19885	25.422
gdiff	AG-337-D17_contigs.fasta	AG-447-C06_contigs.fasta	AG-337-D17_NODE_1	5772	6293	.	ab	0.23238	15.791
