# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-898-J19.gdsk selected_coord_sketches/AG-914-L03.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-898-J19_AG-914-L03.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:15 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-898-J19_contigs.fasta	AG-914-L03_contigs.fasta	AG-898-J19_NODE_1	82	867	.	ab	4.7832e-08	863.03
gdiff	AG-898-J19_contigs.fasta	AG-914-L03_contigs.fasta	AG-898-J19_NODE_1	583	1104	.	ab	4.7832e-08	591.14
gdiff	AG-898-J19_contigs.fasta	AG-914-L03_contigs.fasta	AG-898-J19_NODE_1	735	1256	.	ab	4.7832e-08	591.14
gdiff	AG-898-J19_contigs.fasta	AG-914-L03_contigs.fasta	AG-898-J19_NODE_1	864	1715	.	ab	4.7832e-08	931.05
gdiff	AG-898-J19_contigs.fasta	AG-914-L03_contigs.fasta	AG-898-J19_NODE_1	1712	2512	.	ab	4.7832e-08	878.49
gdiff	AG-898-J19_contigs.fasta	AG-914-L03_contigs.fasta	AG-898-J19_NODE_1	1803	2324	.	ab	4.7832e-08	591.14
gdiff	AG-898-J19_contigs.fasta	AG-914-L03_contigs.fasta	AG-898-J19_NODE_1	1876	2397	.	ab	4.7832e-08	591.14
gdiff	AG-898-J19_contigs.fasta	AG-914-L03_contigs.fasta	AG-898-J19_NODE_1	2555	3199	.	ab	4.7832e-08	717.78
gdiff	AG-898-J19_contigs.fasta	AG-914-L03_contigs.fasta	AG-898-J19_NODE_1	3196	5067	.	ab	4.7832e-08	1983
gdiff	AG-898-J19_contigs.fasta	AG-914-L03_contigs.fasta	AG-898-J19_NODE_1	3561	4082	.	ab	4.7832e-08	591.14
gdiff	AG-898-J19_contigs.fasta	AG-914-L03_contigs.fasta	AG-898-J19_NODE_1	3647	4168	.	ab	4.7832e-08	591.14
