# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-325-L05.gdsk selected_coord_sketches/AG-898-C07.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-325-L05_AG-898-C07.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:09 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-325-L05_contigs.fasta	AG-898-C07_contigs.fasta	AG-325-L05_NODE_1	96	1301	.	ab	0.20448	75.428
gdiff	AG-325-L05_contigs.fasta	AG-898-C07_contigs.fasta	AG-325-L05_NODE_1	552	1073	.	ab	0.18211	43.61
gdiff	AG-325-L05_contigs.fasta	AG-898-C07_contigs.fasta	AG-325-L05_NODE_1	696	1217	.	ab	0.18575	40.848
gdiff	AG-325-L05_contigs.fasta	AG-898-C07_contigs.fasta	AG-325-L05_NODE_1	1308	2183	.	ab	0.16579	102.97
gdiff	AG-325-L05_contigs.fasta	AG-898-C07_contigs.fasta	AG-325-L05_NODE_1	1707	2228	.	ab	0.11374	126.62
gdiff	AG-325-L05_contigs.fasta	AG-898-C07_contigs.fasta	AG-325-L05_NODE_1	1776	2297	.	ab	0.11153	130.5
gdiff	AG-325-L05_contigs.fasta	AG-898-C07_contigs.fasta	AG-325-L05_NODE_1	2186	3604	.	ab	0.14785	227.13
gdiff	AG-325-L05_contigs.fasta	AG-898-C07_contigs.fasta	AG-325-L05_NODE_1	3372	3893	.	ab	0.18755	39.526
gdiff	AG-325-L05_contigs.fasta	AG-898-C07_contigs.fasta	AG-325-L05_NODE_1	3454	3975	.	ab	0.22723	17.702
gdiff	AG-325-L05_contigs.fasta	AG-898-C07_contigs.fasta	AG-325-L05_NODE_1	3604	3996	.	ab	0.24119	8.499
gdiff	AG-325-L05_contigs.fasta	AG-898-C07_contigs.fasta	AG-325-L05_NODE_1	3753	4274	.	ab	0.27651	4.658
gdiff	AG-325-L05_contigs.fasta	AG-898-C07_contigs.fasta	AG-325-L05_NODE_1	3989	4465	.	ab	0.25976	6.7968
gdiff	AG-325-L05_contigs.fasta	AG-898-C07_contigs.fasta	AG-325-L05_NODE_1	4467	5603	.	ab	0.22348	49.181
gdiff	AG-325-L05_contigs.fasta	AG-898-C07_contigs.fasta	AG-325-L05_NODE_1	4474	4995	.	ab	0.22778	17.487
gdiff	AG-325-L05_contigs.fasta	AG-898-C07_contigs.fasta	AG-325-L05_NODE_1	4749	5270	.	ab	0.23249	15.696
gdiff	AG-325-L05_contigs.fasta	AG-898-C07_contigs.fasta	AG-325-L05_NODE_1	5600	5950	.	ab	0.22441	11.022
gdiff	AG-325-L05_contigs.fasta	AG-898-C07_contigs.fasta	AG-325-L05_NODE_1	5659	6180	.	ab	0.19559	34.02
gdiff	AG-325-L05_contigs.fasta	AG-898-C07_contigs.fasta	AG-325-L05_NODE_1	5868	6389	.	ab	0.16485	58.681
gdiff	AG-325-L05_contigs.fasta	AG-898-C07_contigs.fasta	AG-325-L05_NODE_1	5968	6489	.	ab	0.17985	45.397
gdiff	AG-325-L05_contigs.fasta	AG-898-C07_contigs.fasta	AG-325-L05_NODE_1	6491	7741	.	ab	0.21468	64.979
gdiff	AG-325-L05_contigs.fasta	AG-898-C07_contigs.fasta	AG-325-L05_NODE_1	6785	7306	.	ab	0.23015	16.566
gdiff	AG-325-L05_contigs.fasta	AG-898-C07_contigs.fasta	AG-325-L05_NODE_1	6820	7341	.	ab	0.24768	10.819
gdiff	AG-325-L05_contigs.fasta	AG-898-C07_contigs.fasta	AG-325-L05_NODE_1	7323	7844	.	ab	0.20188	30.131
