# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-916-B06.gdsk selected_coord_sketches/AG-897-G09.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-916-B06_AG-897-G09.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:10 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	65	1243	.	ab	0.0030282	1152.7
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	691	1212	.	ab	0.0062033	481.58
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	871	1392	.	ab	0.0058387	483.95
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	1389	1952	.	ab	0.0017034	556.9
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	1955	2506	.	ab	4.7832e-08	618.43
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	2136	2657	.	ab	0.0046901	491.64
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	2222	2743	.	ab	0.0048579	490.5
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	2607	5372	.	ab	0.0023238	2746.6
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	4218	4739	.	ab	0.00234	509.2
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	4321	4842	.	ab	0.0038809	497.34
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	4695	5216	.	ab	0.0040627	496.04
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	5424	6122	.	ab	0.0019946	689.01
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	5598	6119	.	ab	4.7832e-08	587.75
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	5942	6463	.	ab	0.0059636	483.13
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	6122	7654	.	ab	0.0040892	1482.6
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	7080	7601	.	ab	0.0022929	509.59
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	7342	7863	.	ab	0.0023584	509.04
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	7699	8985	.	ab	4.7832e-08	1370.9
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	8489	9010	.	ab	4.7832e-08	587.75
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	8533	9054	.	ab	4.7832e-08	587.75
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	8969	9451	.	ab	0.0073694	437.63
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	9162	9683	.	ab	0.0068237	477.62
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	9432	10364	.	ab	0.0026927	913.8
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	9995	10516	.	ab	4.7832e-08	587.75
gdiff	AG-897-G09_contigs.fasta	AG-916-B06_contigs.fasta	AG-897-G09_NODE_1	10361	11026	.	ab	0.021705	511.76
